seed,condition,cat_size,correct,stim_label,type
1084,Uniform-Low,9,1,High,New
1084,Uniform-Low,6,1,Prototype,Prototype
1084,Uniform-Low,3,1,Old,Old
1084,Uniform-Low,9,1,Medium,New
1084,Uniform-Low,6,1,Medium,New
1084,Uniform-Low,3,1,High,New
1084,Uniform-Low,9,1,Old,Old
1084,Uniform-Low,6,1,Low,New
1084,Uniform-Low,6,1,Old,Old
1084,Uniform-Low,9,1,Low,New
1084,Uniform-Low,9,1,Low,New
1084,Uniform-Low,9,1,High,New
1084,Uniform-Low,6,1,High,New
1084,Uniform-Low,6,1,Medium,New
1084,Uniform-Low,3,1,Old,Old
1084,Uniform-Low,3,1,Medium,New
1084,Uniform-Low,9,1,High,New
1084,Uniform-Low,6,1,Old,Old
1084,Uniform-Low,3,1,Low,New
1084,Uniform-Low,6,1,High,New
1084,Uniform-Low,6,1,Low,New
1084,Uniform-Low,3,1,Low,New
1084,Uniform-Low,3,1,High,New
1084,Uniform-Low,9,1,Medium,New
1084,Uniform-Low,9,1,Low,New
1084,Uniform-Low,9,1,Prototype,Prototype
1084,Uniform-Low,3,1,High,New
1084,Uniform-Low,6,1,Medium,New
1084,Uniform-Low,3,1,Low,New
1084,Uniform-Low,9,1,Old,Old
1084,Uniform-Low,6,1,Old,Old
1084,Uniform-Low,3,1,Medium,New
1084,Uniform-Low,6,1,High,New
1084,Uniform-Low,3,1,Old,Old
1084,Uniform-Low,9,1,Old,Old
1084,Uniform-Low,3,1,Prototype,Prototype
1084,Uniform-Low,6,1,Low,New
1084,Uniform-Low,9,1,Medium,New
1084,Uniform-Low,3,1,Medium,New
1135,Uniform-Low,9,1,Medium,New
1135,Uniform-Low,6,1,High,New
1135,Uniform-Low,6,1,Low,New
1135,Uniform-Low,3,1,Medium,New
1135,Uniform-Low,3,1,Medium,New
1135,Uniform-Low,9,1,Old,Old
1135,Uniform-Low,6,1,Old,Old
1135,Uniform-Low,9,1,Low,New
1135,Uniform-Low,9,1,Medium,New
1135,Uniform-Low,3,0,High,New
1135,Uniform-Low,6,1,Low,New
1135,Uniform-Low,6,1,Old,Old
1135,Uniform-Low,3,1,Old,Old
1135,Uniform-Low,6,1,High,New
1135,Uniform-Low,3,1,Medium,New
1135,Uniform-Low,3,1,Low,New
1135,Uniform-Low,9,1,Old,Old
1135,Uniform-Low,3,0,High,New
1135,Uniform-Low,6,1,Medium,New
1135,Uniform-Low,9,1,Old,Old
1135,Uniform-Low,3,1,Low,New
1135,Uniform-Low,3,1,Low,New
1135,Uniform-Low,3,1,High,New
1135,Uniform-Low,9,1,Low,New
1135,Uniform-Low,6,1,Low,New
1135,Uniform-Low,9,1,Prototype,Prototype
1135,Uniform-Low,6,1,Old,Old
1135,Uniform-Low,6,1,Prototype,Prototype
1135,Uniform-Low,9,1,Low,New
1135,Uniform-Low,9,1,High,New
1135,Uniform-Low,6,1,Medium,New
1135,Uniform-Low,3,1,Prototype,Prototype
1135,Uniform-Low,6,1,Medium,New
1135,Uniform-Low,6,1,High,New
1135,Uniform-Low,3,1,Old,Old
1135,Uniform-Low,9,1,High,New
1135,Uniform-Low,9,1,High,New
1135,Uniform-Low,3,1,Old,Old
1135,Uniform-Low,9,1,Medium,New
1186,Uniform-Low,6,1,High,New
1186,Uniform-Low,6,1,Old,Old
1186,Uniform-Low,9,1,Medium,New
1186,Uniform-Low,9,1,High,New
1186,Uniform-Low,9,1,High,New
1186,Uniform-Low,9,1,Old,Old
1186,Uniform-Low,3,1,Medium,New
1186,Uniform-Low,6,1,Medium,New
1186,Uniform-Low,9,1,Medium,New
1186,Uniform-Low,3,1,Old,Old
1186,Uniform-Low,6,1,Prototype,Prototype
1186,Uniform-Low,9,1,Low,New
1186,Uniform-Low,9,1,Old,Old
1186,Uniform-Low,3,0,High,New
1186,Uniform-Low,3,1,Prototype,Prototype
1186,Uniform-Low,3,1,Old,Old
1186,Uniform-Low,3,1,Old,Old
1186,Uniform-Low,6,1,High,New
1186,Uniform-Low,9,1,Medium,New
1186,Uniform-Low,9,1,Low,New
1186,Uniform-Low,3,1,High,New
1186,Uniform-Low,6,1,High,New
1186,Uniform-Low,6,1,Low,New
1186,Uniform-Low,3,1,Low,New
1186,Uniform-Low,6,1,Old,Old
1186,Uniform-Low,3,1,Medium,New
1186,Uniform-Low,3,1,Low,New
1186,Uniform-Low,9,1,High,New
1186,Uniform-Low,3,1,Medium,New
1186,Uniform-Low,9,1,Low,New
1186,Uniform-Low,6,1,Low,New
1186,Uniform-Low,9,1,Prototype,Prototype
1186,Uniform-Low,6,1,Medium,New
1186,Uniform-Low,3,1,Low,New
1186,Uniform-Low,9,1,Old,Old
1186,Uniform-Low,6,1,Medium,New
1186,Uniform-Low,6,1,Old,Old
1186,Uniform-Low,6,1,Low,New
1186,Uniform-Low,3,0,High,New
1237,Uniform-Low,6,1,Low,New
1237,Uniform-Low,3,1,High,New
1237,Uniform-Low,9,1,Low,New
1237,Uniform-Low,3,1,Low,New
1237,Uniform-Low,6,1,Medium,New
1237,Uniform-Low,3,1,Medium,New
1237,Uniform-Low,3,1,High,New
1237,Uniform-Low,6,1,Low,New
1237,Uniform-Low,9,1,Medium,New
1237,Uniform-Low,3,1,Medium,New
1237,Uniform-Low,6,1,High,New
1237,Uniform-Low,3,1,High,New
1237,Uniform-Low,9,1,Medium,New
1237,Uniform-Low,3,1,Low,New
1237,Uniform-Low,3,1,Old,Old
1237,Uniform-Low,6,1,Low,New
1237,Uniform-Low,6,1,Prototype,Prototype
1237,Uniform-Low,9,1,High,New
1237,Uniform-Low,6,1,Old,Old
1237,Uniform-Low,6,1,Old,Old
1237,Uniform-Low,3,1,Old,Old
1237,Uniform-Low,3,1,Old,Old
1237,Uniform-Low,6,1,Medium,New
1237,Uniform-Low,6,1,High,New
1237,Uniform-Low,3,1,Low,New
1237,Uniform-Low,6,1,Old,Old
1237,Uniform-Low,9,1,High,New
1237,Uniform-Low,9,1,Medium,New
1237,Uniform-Low,6,1,High,New
1237,Uniform-Low,3,1,Medium,New
1237,Uniform-Low,9,1,Old,Old
1237,Uniform-Low,9,1,High,New
1237,Uniform-Low,6,1,Medium,New
1237,Uniform-Low,9,1,Low,New
1237,Uniform-Low,9,1,Old,Old
1237,Uniform-Low,3,1,Prototype,Prototype
1237,Uniform-Low,9,1,Prototype,Prototype
1237,Uniform-Low,9,1,Old,Old
1237,Uniform-Low,9,1,Low,New
1288,Uniform-Low,6,1,High,New
1288,Uniform-Low,6,1,Low,New
1288,Uniform-Low,6,1,High,New
1288,Uniform-Low,6,1,Old,Old
1288,Uniform-Low,3,1,Prototype,Prototype
1288,Uniform-Low,3,1,High,New
1288,Uniform-Low,3,1,Low,New
1288,Uniform-Low,6,1,High,New
1288,Uniform-Low,6,1,Prototype,Prototype
1288,Uniform-Low,6,1,Low,New
1288,Uniform-Low,9,1,Low,New
1288,Uniform-Low,3,1,Old,Old
1288,Uniform-Low,3,1,Low,New
1288,Uniform-Low,9,1,Medium,New
