seed,epoch,block,ratio,test_type,true_label,pred_label,prob_common,prob_rare,shows_ibre
12345,1,1,4.0,AB_train,Common,Rare,0.08823160850922997,0.91176839149077,False
12345,1,1,4.0,AC_train,Rare,Common,0.9212654267917478,0.07873457320825222,False
12345,1,1,4.0,BC_critical,ambiguous,Rare,0.36289514595928846,0.6371048540407115,True
12345,1,1,4.0,A_only,Common,Rare,0.36289514595928846,0.6371048540407115,False
12345,1,1,4.0,B_only,Common,Rare,0.08823160850922997,0.91176839149077,False
12345,1,1,4.0,C_only,Rare,Common,0.9212654267917478,0.07873457320825222,False
12345,1,2,4.0,AB_train,Common,Rare,0.0832035111991113,0.9167964888008887,False
12345,1,2,4.0,AC_train,Rare,Common,0.9441485575276932,0.0558514424723067,False
12345,1,2,4.0,BC_critical,ambiguous,Rare,0.3001060719083747,0.6998939280916254,True
12345,1,2,4.0,A_only,Common,Rare,0.3001060719083747,0.6998939280916254,False
12345,1,2,4.0,B_only,Common,Rare,0.0832035111991113,0.9167964888008887,False
12345,1,2,4.0,C_only,Rare,Common,0.9441485575276932,0.0558514424723067,False
12345,1,3,4.0,AB_train,Common,Rare,0.08149957503579659,0.9185004249642034,False
12345,1,3,4.0,AC_train,Rare,Common,0.9522494405403905,0.047750559459609425,False
12345,1,3,4.0,BC_critical,ambiguous,Rare,0.2720638033700612,0.7279361966299388,True
12345,1,3,4.0,A_only,Common,Rare,0.2720638033700612,0.7279361966299388,False
12345,1,3,4.0,B_only,Common,Rare,0.08149957503579659,0.9185004249642034,False
12345,1,3,4.0,C_only,Rare,Common,0.9522494405403905,0.047750559459609425,False
12345,1,4,4.0,AB_train,Common,Rare,0.08064227563195181,0.9193577243680482,False
12345,1,4,4.0,AC_train,Rare,Common,0.9563949867479592,0.04360501325204076,False
12345,1,4,4.0,BC_critical,ambiguous,Rare,0.2562644338891496,0.7437355661108503,True
12345,1,4,4.0,A_only,Common,Rare,0.2562644338891496,0.7437355661108503,False
12345,1,4,4.0,B_only,Common,Rare,0.08064227563195181,0.9193577243680482,False
12345,1,4,4.0,C_only,Rare,Common,0.9563949867479592,0.04360501325204076,False
12345,1,5,4.0,AB_train,Common,Rare,0.08012617699415174,0.9198738230058482,False
12345,1,5,4.0,AC_train,Rare,Common,0.9589136291773046,0.041086370822695305,False
12345,1,5,4.0,BC_critical,ambiguous,Rare,0.24613893307335555,0.7538610669266445,True
12345,1,5,4.0,A_only,Common,Rare,0.24613893307335555,0.7538610669266445,False
12345,1,5,4.0,B_only,Common,Rare,0.08012617699415174,0.9198738230058482,False
12345,1,5,4.0,C_only,Rare,Common,0.9589136291773046,0.041086370822695305,False
12345,1,6,4.0,AB_train,Common,Rare,0.07978139196485641,0.9202186080351435,False
12345,1,6,4.0,AC_train,Rare,Common,0.960605982603743,0.03939401739625699,False
12345,1,6,4.0,BC_critical,ambiguous,Rare,0.2390990979774685,0.7609009020225315,True
12345,1,6,4.0,A_only,Common,Rare,0.2390990979774685,0.7609009020225315,False
12345,1,6,4.0,B_only,Common,Rare,0.07978139196485641,0.9202186080351435,False
12345,1,6,4.0,C_only,Rare,Common,0.960605982603743,0.03939401739625699,False
12345,1,7,4.0,AB_train,Common,Rare,0.07953476368535606,0.9204652363146439,False
12345,1,7,4.0,AC_train,Rare,Common,0.9618213679693723,0.03817863203062775,False
12345,1,7,4.0,BC_critical,ambiguous,Rare,0.23392186034779025,0.7660781396522098,True
12345,1,7,4.0,A_only,Common,Rare,0.23392186034779025,0.7660781396522098,False
12345,1,7,4.0,B_only,Common,Rare,0.07953476368535606,0.9204652363146439,False
12345,1,7,4.0,C_only,Rare,Common,0.9618213679693723,0.03817863203062775,False
12345,1,8,4.0,AB_train,Common,Rare,0.07934959891866,0.92065040108134,False
12345,1,8,4.0,AC_train,Rare,Common,0.9627365215084778,0.03726347849152219,False
12345,1,8,4.0,BC_critical,ambiguous,Rare,0.22995476724704028,0.7700452327529598,True
12345,1,8,4.0,A_only,Common,Rare,0.22995476724704028,0.7700452327529598,False
12345,1,8,4.0,B_only,Common,Rare,0.07934959891866,0.92065040108134,False
12345,1,8,4.0,C_only,Rare,Common,0.9627365215084778,0.03726347849152219,False
12345,1,9,4.0,AB_train,Common,Rare,0.07920546701325486,0.9207945329867452,False
12345,1,9,4.0,AC_train,Rare,Common,0.9634504611266986,0.03654953887330135,False
12345,1,9,4.0,BC_critical,ambiguous,Rare,0.22681806040134345,0.7731819395986566,True
12345,1,9,4.0,A_only,Common,Rare,0.22681806040134345,0.7731819395986566,False
12345,1,9,4.0,B_only,Common,Rare,0.07920546701325486,0.9207945329867452,False
12345,1,9,4.0,C_only,Rare,Common,0.9634504611266986,0.03654953887330135,False
12345,1,10,4.0,AB_train,Common,Rare,0.07909008905609578,0.9209099109439043,False
12345,1,10,4.0,AC_train,Rare,Common,0.9640229752261761,0.03597702477382395,False
12345,1,10,4.0,BC_critical,ambiguous,Rare,0.22427582306286503,0.775724176937135,True
12345,1,10,4.0,A_only,Common,Rare,0.22427582306286503,0.775724176937135,False
12345,1,10,4.0,B_only,Common,Rare,0.07909008905609578,0.9209099109439043,False
12345,1,10,4.0,C_only,Rare,Common,0.9640229752261761,0.03597702477382395,False
12345,1,11,4.0,AB_train,Common,Rare,0.0789956409628499,0.9210043590371502,False
12345,1,11,4.0,AC_train,Rare,Common,0.9644922996134028,0.03550770038659726,False
12345,1,11,4.0,BC_critical,ambiguous,Rare,0.22217371658380114,0.7778262834161989,True
12345,1,11,4.0,A_only,Common,Rare,0.22217371658380114,0.7778262834161989,False
12345,1,11,4.0,B_only,Common,Rare,0.0789956409628499,0.9210043590371502,False
12345,1,11,4.0,C_only,Rare,Common,0.9644922996134028,0.03550770038659726,False
12345,1,12,4.0,AB_train,Common,Rare,0.0789169012424711,0.9210830987575289,False
12345,1,12,4.0,AC_train,Rare,Common,0.9648840262636194,0.03511597373638066,False
12345,1,12,4.0,BC_critical,ambiguous,Rare,0.2204065798346438,0.7795934201653562,True
12345,1,12,4.0,A_only,Common,Rare,0.2204065798346438,0.7795934201653562,False
12345,1,12,4.0,B_only,Common,Rare,0.0789169012424711,0.9210830987575289,False
12345,1,12,4.0,C_only,Rare,Common,0.9648840262636194,0.03511597373638066,False
12345,1,13,4.0,AB_train,Common,Rare,0.07885025189598355,0.9211497481040164,False
12345,1,13,4.0,AC_train,Rare,Common,0.965215930685824,0.03478406931417603,False
12345,1,13,4.0,BC_critical,ambiguous,Rare,0.21890026800726003,0.78109973199274,True
12345,1,13,4.0,A_only,Common,Rare,0.21890026800726003,0.78109973199274,False
12345,1,13,4.0,B_only,Common,Rare,0.07885025189598355,0.9211497481040164,False
12345,1,13,4.0,C_only,Rare,Common,0.965215930685824,0.03478406931417603,False
12345,1,14,4.0,AB_train,Common,Rare,0.0787931067795865,0.9212068932204135,False
12345,1,14,4.0,AC_train,Rare,Common,0.9655007442747312,0.03449925572526881,False
12345,1,14,4.0,BC_critical,ambiguous,Rare,0.21760101477007268,0.7823989852299273,True
12345,1,14,4.0,A_only,Common,Rare,0.21760101477007268,0.7823989852299273,False
12345,1,14,4.0,B_only,Common,Rare,0.0787931067795865,0.9212068932204135,False
12345,1,14,4.0,C_only,Rare,Common,0.9655007442747312,0.03449925572526881,False
12345,1,15,4.0,AB_train,Common,Rare,0.07874356823412003,0.92125643176588,False
12345,1,15,4.0,AC_train,Rare,Common,0.9657478251198777,0.03425217488012236,False
12345,1,15,4.0,BC_critical,ambiguous,Rare,0.2164688802703368,0.7835311197296632,True
12345,1,15,4.0,A_only,Common,Rare,0.2164688802703368,0.7835311197296632,False
12345,1,15,4.0,B_only,Common,Rare,0.07874356823412003,0.92125643176588,False
12345,1,15,4.0,C_only,Rare,Common,0.9657478251198777,0.03425217488012236,False
12345,2,1,4.0,AB_train,Common,Rare,0.08823160850922997,0.91176839149077,False
12345,2,1,4.0,AC_train,Rare,Common,0.9212654267917478,0.07873457320825222,False
12345,2,1,4.0,BC_critical,ambiguous,Rare,0.36289514595928846,0.6371048540407115,True
12345,2,1,4.0,A_only,Common,Rare,0.36289514595928846,0.6371048540407115,False
12345,2,1,4.0,B_only,Common,Rare,0.08823160850922997,0.91176839149077,False
12345,2,1,4.0,C_only,Rare,Common,0.9212654267917478,0.07873457320825222,False
12345,2,2,4.0,AB_train,Common,Rare,0.0832035111991113,0.9167964888008887,False
12345,2,2,4.0,AC_train,Rare,Common,0.9441485575276932,0.0558514424723067,False
12345,2,2,4.0,BC_critical,ambiguous,Rare,0.3001060719083747,0.6998939280916254,True
12345,2,2,4.0,A_only,Common,Rare,0.3001060719083747,0.6998939280916254,False
12345,2,2,4.0,B_only,Common,Rare,0.0832035111991113,0.9167964888008887,False
12345,2,2,4.0,C_only,Rare,Common,0.9441485575276932,0.0558514424723067,False
12345,2,3,4.0,AB_train,Common,Rare,0.08149957503579659,0.9185004249642034,False
12345,2,3,4.0,AC_train,Rare,Common,0.9522494405403905,0.047750559459609425,False
12345,2,3,4.0,BC_critical,ambiguous,Rare,0.2720638033700612,0.7279361966299388,True
12345,2,3,4.0,A_only,Common,Rare,0.2720638033700612,0.7279361966299388,False
12345,2,3,4.0,B_only,Common,Rare,0.08149957503579659,0.9185004249642034,False
12345,2,3,4.0,C_only,Rare,Common,0.9522494405403905,0.047750559459609425,False
12345,2,4,4.0,AB_train,Common,Rare,0.08064227563195181,0.9193577243680482,False
12345,2,4,4.0,AC_train,Rare,Common,0.9563949867479592,0.04360501325204076,False
12345,2,4,4.0,BC_critical,ambiguous,Rare,0.2562644338891496,0.7437355661108503,True
12345,2,4,4.0,A_only,Common,Rare,0.2562644338891496,0.7437355661108503,False
12345,2,4,4.0,B_only,Common,Rare,0.08064227563195181,0.9193577243680482,False
12345,2,4,4.0,C_only,Rare,Common,0.9563949867479592,0.04360501325204076,False
12345,2,5,4.0,AB_train,Common,Rare,0.08012617699415174,0.9198738230058482,False
12345,2,5,4.0,AC_train,Rare,Common,0.9589136291773046,0.041086370822695305,False
