seed,epoch,block,level,accuracy
1,1,1,super,1.0
1,1,1,basic,0.9875
1,1,1,sub,0.7833333333333333
1,1,2,super,1.0
1,1,2,basic,0.9875
1,1,2,sub,0.8083333333333333
1,1,3,super,1.0
1,1,3,basic,0.9875
1,1,3,sub,0.8041666666666667
1,1,4,super,1.0
1,1,4,basic,0.9875
1,1,4,sub,0.8083333333333333
1,1,5,super,1.0
1,1,5,basic,0.9875
1,1,5,sub,0.8125
1,1,6,super,1.0
1,1,6,basic,0.9875
1,1,6,sub,0.8166666666666667
1,1,7,super,1.0
1,1,7,basic,0.9875
1,1,7,sub,0.8166666666666667
1,1,8,super,1.0
1,1,8,basic,0.9875
1,1,8,sub,0.8166666666666667
1,1,9,super,1.0
1,1,9,basic,0.9875
1,1,9,sub,0.8166666666666667
1,1,10,super,1.0
1,1,10,basic,0.9875
1,1,10,sub,0.8166666666666667
1,2,1,super,1.0
1,2,1,basic,0.9875
1,2,1,sub,0.7708333333333334
1,2,2,super,1.0
1,2,2,basic,0.9875
1,2,2,sub,0.7958333333333333
1,2,3,super,1.0
1,2,3,basic,0.9875
1,2,3,sub,0.8125
1,2,4,super,1.0
1,2,4,basic,0.9875
1,2,4,sub,0.8208333333333333
1,2,5,super,1.0
1,2,5,basic,0.9875
1,2,5,sub,0.8125
1,2,6,super,1.0
1,2,6,basic,0.9875
1,2,6,sub,0.8125
1,2,7,super,1.0
1,2,7,basic,0.9875
1,2,7,sub,0.8208333333333333
1,2,8,super,1.0
1,2,8,basic,0.9875
1,2,8,sub,0.8208333333333333
1,2,9,super,1.0
1,2,9,basic,0.9875
1,2,9,sub,0.8208333333333333
1,2,10,super,1.0
1,2,10,basic,0.9875
1,2,10,sub,0.8208333333333333
1,3,1,super,1.0
1,3,1,basic,0.9875
1,3,1,sub,0.7791666666666667
1,3,2,super,1.0
1,3,2,basic,0.9875
1,3,2,sub,0.8083333333333333
1,3,3,super,1.0
1,3,3,basic,0.9875
1,3,3,sub,0.8041666666666667
1,3,4,super,1.0
1,3,4,basic,0.9875
1,3,4,sub,0.8166666666666667
1,3,5,super,1.0
1,3,5,basic,0.9875
1,3,5,sub,0.8166666666666667
1,3,6,super,1.0
1,3,6,basic,0.9875
1,3,6,sub,0.8166666666666667
1,3,7,super,1.0
1,3,7,basic,0.9875
1,3,7,sub,0.8166666666666667
1,3,8,super,1.0
1,3,8,basic,0.9875
1,3,8,sub,0.8166666666666667
1,3,9,super,1.0
1,3,9,basic,0.9875
1,3,9,sub,0.8166666666666667
1,3,10,super,1.0
1,3,10,basic,0.9875
1,3,10,sub,0.8166666666666667
1,4,1,super,1.0
1,4,1,basic,0.9875
1,4,1,sub,0.775
1,4,2,super,1.0
1,4,2,basic,0.9875
1,4,2,sub,0.8041666666666667
1,4,3,super,1.0
1,4,3,basic,0.9875
1,4,3,sub,0.8166666666666667
1,4,4,super,1.0
1,4,4,basic,0.9875
1,4,4,sub,0.8166666666666667
1,4,5,super,1.0
1,4,5,basic,0.9875
1,4,5,sub,0.8166666666666667
1,4,6,super,1.0
1,4,6,basic,0.9875
1,4,6,sub,0.8166666666666667
1,4,7,super,1.0
1,4,7,basic,0.9875
1,4,7,sub,0.8166666666666667
1,4,8,super,1.0
1,4,8,basic,0.9875
1,4,8,sub,0.8166666666666667
1,4,9,super,1.0
1,4,9,basic,0.9875
1,4,9,sub,0.8166666666666667
1,4,10,super,1.0
1,4,10,basic,0.9875
1,4,10,sub,0.8166666666666667
32,1,1,super,1.0
32,1,1,basic,0.9958333333333333
32,1,1,sub,0.7208333333333333
32,1,2,super,1.0
32,1,2,basic,0.9958333333333333
32,1,2,sub,0.8083333333333333
32,1,3,super,1.0
32,1,3,basic,0.9958333333333333
32,1,3,sub,0.8125
32,1,4,super,1.0
32,1,4,basic,0.9958333333333333
32,1,4,sub,0.8125
32,1,5,super,1.0
32,1,5,basic,0.9958333333333333
32,1,5,sub,0.8125
32,1,6,super,1.0
32,1,6,basic,0.9958333333333333
32,1,6,sub,0.8125
32,1,7,super,1.0
32,1,7,basic,0.9958333333333333
32,1,7,sub,0.8041666666666667
32,1,8,super,1.0
32,1,8,basic,0.9958333333333333
32,1,8,sub,0.8041666666666667
32,1,9,super,1.0
32,1,9,basic,0.9958333333333333
32,1,9,sub,0.8041666666666667
32,1,10,super,1.0
32,1,10,basic,0.9958333333333333
32,1,10,sub,0.8041666666666667
32,2,1,super,1.0
32,2,1,basic,0.9958333333333333
32,2,1,sub,0.7625
32,2,2,super,1.0
32,2,2,basic,0.9958333333333333
32,2,2,sub,0.8125
32,2,3,super,1.0
32,2,3,basic,0.9958333333333333
32,2,3,sub,0.8125
32,2,4,super,1.0
32,2,4,basic,0.9958333333333333
32,2,4,sub,0.8125
32,2,5,super,1.0
32,2,5,basic,0.9958333333333333
32,2,5,sub,0.8125
32,2,6,super,1.0
32,2,6,basic,0.9958333333333333
32,2,6,sub,0.8083333333333333
32,2,7,super,1.0
32,2,7,basic,0.9958333333333333
32,2,7,sub,0.8083333333333333
32,2,8,super,1.0
32,2,8,basic,0.9958333333333333
32,2,8,sub,0.8083333333333333
32,2,9,super,1.0
32,2,9,basic,0.9958333333333333
32,2,9,sub,0.8083333333333333
32,2,10,super,1.0
32,2,10,basic,0.9958333333333333
32,2,10,sub,0.8083333333333333
32,3,1,super,1.0
32,3,1,basic,0.9958333333333333
32,3,1,sub,0.7416666666666667
32,3,2,super,1.0
32,3,2,basic,0.9958333333333333
32,3,2,sub,0.8083333333333333
32,3,3,super,1.0
32,3,3,basic,0.9958333333333333
