seed,feedback,learning_distortion,phase,epoch,accuracy,stim_type
12345,Feedback,Low,learning,1,0.8333333333333334,learning_set
12345,Feedback,Low,learning,2,1.0,learning_set
12345,Feedback,Low,learning,3,1.0,learning_set
12345,Feedback,Low,learning,4,1.0,learning_set
12345,Feedback,Low,learning,5,1.0,learning_set
12345,Feedback,Low,learning,6,1.0,learning_set
12345,Feedback,Low,learning,7,1.0,learning_set
12345,Feedback,Low,learning,8,1.0,learning_set
12345,Feedback,Low,transfer,9,0.0,Unrelated
12345,Feedback,Low,transfer,9,1.0,New_Medium
12345,Feedback,Low,transfer,9,1.0,New_Medium
12345,Feedback,Low,transfer,9,1.0,New_Medium
12345,Feedback,Low,transfer,9,1.0,New_Medium
12345,Feedback,Low,transfer,9,0.0,Unrelated
12345,Feedback,Low,transfer,9,1.0,New_Medium
12345,Feedback,Low,transfer,9,1.0,New_Medium
12345,Feedback,Low,transfer,9,0.0,Unrelated
12345,Feedback,Low,transfer,9,0.0,Unrelated
12345,Feedback,Low,transfer,9,1.0,New_Low
12345,Feedback,Low,transfer,9,1.0,Old
12345,Feedback,Low,transfer,9,1.0,New_High
12345,Feedback,Low,transfer,9,1.0,New_Low
12345,Feedback,Low,transfer,9,1.0,New_Low
12345,Feedback,Low,transfer,9,1.0,New_High
12345,Feedback,Low,transfer,9,1.0,Prototype
12345,Feedback,Low,transfer,9,1.0,New_High
12345,Feedback,Low,transfer,9,1.0,New_Medium
12345,Feedback,Low,transfer,9,1.0,New_Low
12345,Feedback,Low,transfer,9,1.0,Old
12345,Feedback,Low,transfer,9,1.0,Old
12345,Feedback,Low,transfer,9,1.0,New_Low
12345,Feedback,Low,transfer,9,1.0,New_High
12345,Feedback,Low,transfer,9,1.0,New_Medium
12345,Feedback,Low,transfer,9,0.0,Unrelated
12345,Feedback,Low,transfer,9,1.0,New_Medium
12345,Feedback,Low,transfer,9,1.0,New_High
12345,Feedback,Low,transfer,9,1.0,New_High
12345,Feedback,Low,transfer,9,0.0,Unrelated
12345,Feedback,Low,transfer,9,1.0,New_High
12345,Feedback,Low,transfer,9,0.0,Unrelated
12345,Feedback,Low,transfer,9,0.0,Unrelated
12345,Feedback,Low,transfer,9,1.0,New_High
12345,Feedback,Low,transfer,9,1.0,Prototype
12345,Feedback,Low,transfer,9,1.0,Old
12345,Feedback,Low,transfer,9,1.0,New_High
12345,Feedback,Low,transfer,9,0.0,Unrelated
12345,Feedback,Low,transfer,9,1.0,New_Low
12345,Feedback,Low,transfer,9,1.0,New_Low
12345,Feedback,Low,transfer,9,0.0,Unrelated
12345,Feedback,Low,transfer,9,1.0,New_Low
12345,Feedback,Low,transfer,9,0.0,Unrelated
12345,Feedback,Low,transfer,9,1.0,New_Low
12345,Feedback,Low,transfer,9,1.0,Old
12345,Feedback,Low,transfer,9,1.0,New_Medium
12345,Feedback,Low,transfer,9,1.0,New_High
12345,Feedback,Low,transfer,9,1.0,New_Low
12345,Feedback,Low,transfer,9,0.0,Unrelated
12345,Feedback,Low,transfer,9,1.0,Prototype
12345,Feedback,Low,transfer,9,1.0,New_Low
12345,Feedback,Low,transfer,9,0.0,Unrelated
12345,Feedback,Low,transfer,9,0.0,Unrelated
12345,Feedback,Low,transfer,9,0.0,Unrelated
12345,Feedback,Low,transfer,9,0.0,Unrelated
12345,Feedback,Low,transfer,9,0.0,Unrelated
12345,Feedback,Low,transfer,9,1.0,Prototype
12345,Feedback,Low,transfer,9,1.0,New_Low
12345,Feedback,Low,transfer,9,1.0,Old
12345,Feedback,Low,transfer,9,1.0,New_Medium
12345,Feedback,Low,transfer,9,1.0,New_Low
12345,Feedback,Low,transfer,9,1.0,New_Medium
12345,Feedback,Low,transfer,9,1.0,Old
12345,Feedback,Low,transfer,9,1.0,Prototype
12345,Feedback,Low,transfer,9,1.0,Old
12345,Feedback,Low,transfer,9,1.0,New_Low
12345,Feedback,Low,transfer,9,1.0,New_High
12345,Feedback,Low,transfer,9,0.0,Unrelated
12345,Feedback,Low,transfer,9,1.0,Old
12345,Feedback,Low,transfer,9,1.0,New_High
12345,Feedback,Low,transfer,9,1.0,New_High
12345,Feedback,Low,transfer,9,1.0,New_High
12345,Feedback,Low,transfer,9,0.0,Unrelated
12345,Feedback,Low,transfer,9,1.0,New_Low
12345,Feedback,Low,transfer,9,1.0,New_Medium
12345,Feedback,Low,transfer,9,1.0,New_High
12345,Feedback,Low,transfer,9,1.0,New_Medium
12345,Feedback,Low,transfer,9,1.0,Prototype
12345,Feedback,Low,transfer,9,0.0,Unrelated
12345,Feedback,Low,transfer,9,1.0,New_Medium
12345,No Feedback,Low,learning,1,0.8888888888888888,learning_set
12345,No Feedback,Low,learning,2,1.0,learning_set
12345,No Feedback,Low,learning,3,1.0,learning_set
12345,No Feedback,Low,learning,4,1.0,learning_set
12345,No Feedback,Low,learning,5,1.0,learning_set
12345,No Feedback,Low,learning,6,1.0,learning_set
12345,No Feedback,Low,learning,7,1.0,learning_set
12345,No Feedback,Low,learning,8,1.0,learning_set
12345,No Feedback,Low,transfer,9,1.0,New_High
12345,No Feedback,Low,transfer,9,0.0,Unrelated
12345,No Feedback,Low,transfer,9,1.0,New_Low
12345,No Feedback,Low,transfer,9,0.0,Unrelated
12345,No Feedback,Low,transfer,9,1.0,Prototype
12345,No Feedback,Low,transfer,9,0.0,Unrelated
12345,No Feedback,Low,transfer,9,0.0,Unrelated
12345,No Feedback,Low,transfer,9,1.0,New_High
12345,No Feedback,Low,transfer,9,0.0,Unrelated
12345,No Feedback,Low,transfer,9,1.0,New_Low
12345,No Feedback,Low,transfer,9,1.0,New_Medium
12345,No Feedback,Low,transfer,9,1.0,New_High
12345,No Feedback,Low,transfer,9,1.0,New_High
12345,No Feedback,Low,transfer,9,1.0,Old
12345,No Feedback,Low,transfer,9,1.0,New_High
12345,No Feedback,Low,transfer,9,0.0,Unrelated
12345,No Feedback,Low,transfer,9,0.0,Unrelated
12345,No Feedback,Low,transfer,9,1.0,Old
12345,No Feedback,Low,transfer,9,1.0,New_Low
