seed,epoch,block,label_rate,distortion,accuracy,pred_share_B
12345,1,1,1.0,0.0,0.5,0.0
12345,1,1,1.0,0.05,0.5,0.0
12345,1,1,1.0,0.15,0.5,0.0
12345,1,1,1.0,0.3,0.5,0.0
12345,1,2,1.0,0.0,0.5,0.0
12345,1,2,1.0,0.05,0.5,0.0
12345,1,2,1.0,0.15,0.5,0.0
12345,1,2,1.0,0.3,0.5,0.0
12345,1,3,1.0,0.0,0.5,0.0
12345,1,3,1.0,0.05,0.5,0.0
12345,1,3,1.0,0.15,0.5,0.0
12345,1,3,1.0,0.3,0.5,0.0
12345,1,4,1.0,0.0,0.5,0.0
12345,1,4,1.0,0.05,0.5,0.0
12345,1,4,1.0,0.15,0.5,0.0
12345,1,4,1.0,0.3,0.5,0.0
12345,1,5,1.0,0.0,0.5,0.0
12345,1,5,1.0,0.05,0.5,0.0
12345,1,5,1.0,0.15,0.5,0.0
12345,1,5,1.0,0.3,0.5,0.0
12345,1,6,1.0,0.0,0.5,0.0
12345,1,6,1.0,0.05,0.5,0.0
12345,1,6,1.0,0.15,0.5,0.0
12345,1,6,1.0,0.3,0.5,0.0
12345,1,7,1.0,0.0,0.5,0.0
12345,1,7,1.0,0.05,0.5,0.0
12345,1,7,1.0,0.15,0.5,0.0
12345,1,7,1.0,0.3,0.5,0.0
12345,1,8,1.0,0.0,0.5,0.0
12345,1,8,1.0,0.05,0.5,0.0
12345,1,8,1.0,0.15,0.5,0.0
12345,1,8,1.0,0.3,0.5,0.0
12345,1,9,1.0,0.0,0.5,0.0
12345,1,9,1.0,0.05,0.5,0.0
12345,1,9,1.0,0.15,0.5,0.0
12345,1,9,1.0,0.3,0.5,0.0
12345,1,10,1.0,0.0,0.5,0.0
12345,1,10,1.0,0.05,0.5,0.0
12345,1,10,1.0,0.15,0.5,0.0
12345,1,10,1.0,0.3,0.5,0.0
12345,1,11,1.0,0.0,0.5,0.0
12345,1,11,1.0,0.05,0.5,0.0
12345,1,11,1.0,0.15,0.5,0.0
12345,1,11,1.0,0.3,0.5,0.0
12345,1,12,1.0,0.0,0.5,0.0
12345,1,12,1.0,0.05,0.5,0.0
12345,1,12,1.0,0.15,0.5,0.0
12345,1,12,1.0,0.3,0.5,0.0
12345,2,1,1.0,0.0,0.5,0.0
12345,2,1,1.0,0.05,0.5,0.0
12345,2,1,1.0,0.15,0.5,0.0
12345,2,1,1.0,0.3,0.5,0.0
12345,2,2,1.0,0.0,0.5,0.0
12345,2,2,1.0,0.05,0.5,0.0
12345,2,2,1.0,0.15,0.5,0.0
12345,2,2,1.0,0.3,0.5,0.0
12345,2,3,1.0,0.0,0.5,0.0
12345,2,3,1.0,0.05,0.5,0.0
12345,2,3,1.0,0.15,0.5,0.0
12345,2,3,1.0,0.3,0.5,0.0
12345,2,4,1.0,0.0,0.5,0.0
12345,2,4,1.0,0.05,0.5,0.0
12345,2,4,1.0,0.15,0.5,0.0
12345,2,4,1.0,0.3,0.5,0.0
12345,2,5,1.0,0.0,0.5,0.0
12345,2,5,1.0,0.05,0.5,0.0
12345,2,5,1.0,0.15,0.5,0.0
12345,2,5,1.0,0.3,0.5,0.0
12345,2,6,1.0,0.0,0.5,0.0
12345,2,6,1.0,0.05,0.5,0.0
12345,2,6,1.0,0.15,0.5,0.0
12345,2,6,1.0,0.3,0.5,0.0
12345,2,7,1.0,0.0,0.5,0.0
12345,2,7,1.0,0.05,0.5,0.0
12345,2,7,1.0,0.15,0.5,0.0
12345,2,7,1.0,0.3,0.5,0.0
12345,2,8,1.0,0.0,0.5,0.0
