seed,epoch,block,stimulus,category,distance,pred_A,pred_B
1,1,1,1,A,0,0.8143740892410278,0.18562602996826172
1,1,1,2,A,1,0.8106522560119629,0.18934763967990875
1,1,1,3,A,2,0.78712397813797,0.212876096367836
1,1,1,4,A,3,0.7507838010787964,0.24921639263629913
1,1,1,5,A,4,0.3394661843776703,0.6605337858200073
1,1,1,6,A,5,0.19552172720432281,0.8044782280921936
1,1,1,7,A,6,0.18787983059883118,0.8121201395988464
1,1,1,8,B,0,0.18787983059883118,0.8121201395988464
1,1,1,9,B,1,0.18716172873973846,0.8128383755683899
1,1,1,10,B,2,0.20806513726711273,0.7919348478317261
1,1,1,11,B,3,0.3200600743293762,0.6799399256706238
1,1,1,12,B,4,0.6352864503860474,0.3647136688232422
1,1,1,13,B,5,0.8050864934921265,0.1949135959148407
1,1,1,14,B,6,0.8143740892410278,0.18562602996826172
1,1,2,1,A,0,0.8272432684898376,0.17275676131248474
1,1,2,2,A,1,0.8177922368049622,0.18220773339271545
1,1,2,3,A,2,0.8302618861198425,0.1697380542755127
1,1,2,4,A,3,0.8285083770751953,0.17149144411087036
1,1,2,5,A,4,0.1865740269422531,0.8134259581565857
1,1,2,6,A,5,0.1863836646080017,0.8136163949966431
1,1,2,7,A,6,0.17412440478801727,0.8258755803108215
1,1,2,8,B,0,0.17412440478801727,0.8258755803108215
1,1,2,9,B,1,0.1785493642091751,0.8214505910873413
1,1,2,10,B,2,0.16286179423332214,0.837138295173645
1,1,2,11,B,3,0.16223806142807007,0.8377617597579956
1,1,2,12,B,4,0.7646387815475464,0.23536114394664764
1,1,2,13,B,5,0.8173236846923828,0.18267646431922913
1,1,2,14,B,6,0.8272432684898376,0.17275676131248474
1,1,3,1,A,0,0.8577573299407959,0.1422426998615265
1,1,3,2,A,1,0.8235375881195068,0.1764625608921051
1,1,3,3,A,2,0.813895046710968,0.18610484898090363
1,1,3,4,A,3,0.810482382774353,0.18951758742332458
1,1,3,5,A,4,0.16949135065078735,0.8305086493492126
1,1,3,6,A,5,0.1776968389749527,0.822303056716919
1,1,3,7,A,6,0.14343401789665222,0.8565660715103149
1,1,3,8,B,0,0.14343401789665222,0.8565660715103149
1,1,3,9,B,1,0.1727808713912964,0.8272191286087036
1,1,3,10,B,2,0.17290081083774567,0.8270991444587708
1,1,3,11,B,3,0.18668586015701294,0.8133140802383423
1,1,3,12,B,4,0.8368576765060425,0.1631423383951187
1,1,3,13,B,5,0.8222955465316772,0.1777045577764511
1,1,3,14,B,6,0.8577573299407959,0.1422426998615265
1,1,4,1,A,0,0.8815097212791443,0.11849026381969452
1,1,4,2,A,1,0.8271039128303528,0.1728961169719696
1,1,4,3,A,2,0.8149435520172119,0.1850564181804657
1,1,4,4,A,3,0.8082502484321594,0.19174975156784058
1,1,4,5,A,4,0.1636800318956375,0.8363200426101685
1,1,4,6,A,5,0.1753542274236679,0.8246458172798157
1,1,4,7,A,6,0.11950317025184631,0.8804968595504761
1,1,4,8,B,0,0.11950317025184631,0.8804968595504761
1,1,4,9,B,1,0.17173095047473907,0.8282691240310669
1,1,4,10,B,2,0.18512026965618134,0.814879834651947
1,1,4,11,B,3,0.19162020087242126,0.8083798289299011
1,1,4,12,B,4,0.8397731781005859,0.16022691130638123
1,1,4,13,B,5,0.8246362805366516,0.175363689661026
1,1,4,14,B,6,0.8815097212791443,0.11849026381969452
1,1,5,1,A,0,0.8886829018592834,0.11131700873374939
1,1,5,2,A,1,0.8327857851982117,0.16721419990062714
1,1,5,3,A,2,0.8196415305137634,0.18035855889320374
1,1,5,4,A,3,0.8095510005950928,0.19044911861419678
1,1,5,5,A,4,0.16668693721294403,0.8333131074905396
1,1,5,6,A,5,0.16883504390716553,0.831165075302124
1,1,5,7,A,6,0.11230204254388809,0.8876978754997253
1,1,5,8,B,0,0.11230204254388809,0.8876978754997253
1,1,5,9,B,1,0.16059236228466034,0.8394076824188232
1,1,5,10,B,2,0.17505984008312225,0.8249402642250061
1,1,5,11,B,3,0.18908408284187317,0.8109160661697388
1,1,5,12,B,4,0.8346627950668335,0.1653372347354889
1,1,5,13,B,5,0.8331089019775391,0.16689111292362213
1,1,5,14,B,6,0.8886829018592834,0.11131700873374939
1,1,6,1,A,0,0.8925366401672363,0.10746335983276367
1,1,6,2,A,1,0.8570055365562439,0.14299453794956207
1,1,6,3,A,2,0.822727620601654,0.17727242410182953
1,1,6,4,A,3,0.8134022951126099,0.18659764528274536
1,1,6,5,A,4,0.14786234498023987,0.8521376848220825
1,1,6,6,A,5,0.14438022673130035,0.8556198477745056
1,1,6,7,A,6,0.1084403470158577,0.8915596008300781
1,1,6,8,B,0,0.1084403470158577,0.8915596008300781
1,1,6,9,B,1,0.13577750325202942,0.8642224669456482
1,1,6,10,B,2,0.1797303557395935,0.8202696442604065
1,1,6,11,B,3,0.18598033487796783,0.8140197396278381
1,1,6,12,B,4,0.8475542664527893,0.1524457484483719
1,1,6,13,B,5,0.8605350255966187,0.13946492969989777
1,1,6,14,B,6,0.8925366401672363,0.10746335983276367
1,1,7,1,A,0,0.8949744701385498,0.10502550005912781
1,1,7,2,A,1,0.8673107028007507,0.13268928229808807
1,1,7,3,A,2,0.8240596055984497,0.17594033479690552
1,1,7,4,A,3,0.8156821131706238,0.184317946434021
1,1,7,5,A,4,0.1399887353181839,0.8600113391876221
1,1,7,6,A,5,0.1339905858039856,0.8660094738006592
1,1,7,7,A,6,0.1060003936290741,0.8939995765686035
1,1,7,8,B,0,0.1060003936290741,0.8939995765686035
1,1,7,9,B,1,0.1251930594444275,0.8748069405555725
1,1,7,10,B,2,0.1695527732372284,0.8304473757743835
1,1,7,11,B,3,0.18377166986465454,0.816228449344635
1,1,7,12,B,4,0.853833019733429,0.14616705477237701
1,1,7,13,B,5,0.8742942810058594,0.12570571899414062
1,1,7,14,B,6,0.8949744701385498,0.10502550005912781
1,1,8,1,A,0,0.896664559841156,0.10333548486232758
1,1,8,2,A,1,0.8729258179664612,0.1270742267370224
1,1,8,3,A,2,0.8229448795318604,0.17705509066581726
1,1,8,4,A,3,0.8167932033538818,0.18320684134960175
1,1,8,5,A,4,0.1353914886713028,0.8646085858345032
1,1,8,6,A,5,0.1283375471830368,0.871662437915802
1,1,8,7,A,6,0.10431037098169327,0.8956896066665649
1,1,8,8,B,0,0.10431037098169327,0.8956896066665649
1,1,8,9,B,1,0.11941224336624146,0.8805878162384033
1,1,8,10,B,2,0.16935479640960693,0.8306451439857483
1,1,8,11,B,3,0.18286700546741486,0.8171329498291016
1,1,8,12,B,4,0.8576918244361877,0.14230820536613464
1,1,8,13,B,5,0.8811167478561401,0.11888322234153748
1,1,8,14,B,6,0.896664559841156,0.10333548486232758
