experiment,subject,stimulus_id,error_count,cat
Exp1,0,Stim6,0,A
Exp1,0,Stim7,1,A
Exp1,0,Stim9,4,A
Exp1,0,Stim10,1,B
Exp1,0,Stim15,4,B
Exp1,0,Stim16,1,B
Exp1,1,Stim6,1,A
Exp1,1,Stim7,1,A
Exp1,1,Stim9,1,A
Exp1,1,Stim10,0,B
Exp1,1,Stim15,2,B
Exp1,1,Stim16,0,B
Exp1,2,Stim6,1,A
Exp1,2,Stim7,2,A
Exp1,2,Stim9,4,A
Exp1,2,Stim10,1,B
Exp1,2,Stim15,4,B
Exp1,2,Stim16,1,B
Exp1,3,Stim6,1,A
Exp1,3,Stim7,2,A
Exp1,3,Stim9,4,A
Exp1,3,Stim10,1,B
Exp1,3,Stim15,3,B
Exp1,3,Stim16,1,B
Exp1,4,Stim6,1,A
Exp1,4,Stim7,1,A
Exp1,4,Stim9,1,A
Exp1,4,Stim10,0,B
Exp1,4,Stim15,2,B
Exp1,4,Stim16,1,B
Exp1,5,Stim6,0,A
Exp1,5,Stim7,1,A
Exp1,5,Stim9,2,A
Exp1,5,Stim10,1,B
Exp1,5,Stim15,4,B
Exp1,5,Stim16,1,B
Exp1,6,Stim6,1,A
Exp1,6,Stim7,1,A
Exp1,6,Stim9,5,A
Exp1,6,Stim10,0,B
Exp1,6,Stim15,3,B
Exp1,6,Stim16,1,B
Exp1,7,Stim6,0,A
Exp1,7,Stim7,2,A
Exp1,7,Stim9,1,A
Exp1,7,Stim10,1,B
Exp1,7,Stim15,1,B
Exp1,7,Stim16,1,B
Exp1,8,Stim6,0,A
Exp1,8,Stim7,2,A
Exp1,8,Stim9,2,A
Exp1,8,Stim10,0,B
Exp1,8,Stim15,3,B
Exp1,8,Stim16,1,B
Exp1,9,Stim6,0,A
Exp1,9,Stim7,2,A
Exp1,9,Stim9,1,A
Exp1,9,Stim10,0,B
Exp1,9,Stim15,3,B
Exp1,9,Stim16,0,B
Exp1,10,Stim6,1,A
Exp1,10,Stim7,1,A
Exp1,10,Stim9,2,A
Exp1,10,Stim10,1,B
Exp1,10,Stim15,4,B
Exp1,10,Stim16,1,B
Exp1,11,Stim6,0,A
Exp1,11,Stim7,1,A
Exp1,11,Stim9,4,A
Exp1,11,Stim10,1,B
Exp1,11,Stim15,4,B
Exp1,11,Stim16,1,B
Exp1,12,Stim6,1,A
Exp1,12,Stim7,1,A
Exp1,12,Stim9,1,A
Exp1,12,Stim10,1,B
Exp1,12,Stim15,1,B
Exp1,12,Stim16,0,B
