experiment,subject,stimulus_id,type,correct_cat,p_correct,choice,accuracy,p_A
Exp2,0,Stim2,Old,B,0.5450077649593441,B,1,0.45499223504065583
Exp2,0,Stim3,New,B,0.5536990941348479,B,1,0.4463009058651522
Exp2,0,Stim8,New,B,0.5247189177394811,B,1,0.47528108226051896
Exp2,0,Stim11,New,A,0.5645957450664582,A,1,0.5645957450664582
Exp2,0,Stim10,Old,B,0.6829778192820711,B,1,0.31702218071792887
Exp2,0,Stim15,Old,A,0.7263067890704438,A,1,0.7263067890704438
Exp2,0,Stim1,New,A,0.553118377263828,A,1,0.553118377263828
Exp2,0,Stim16,New,B,0.6642344490282894,B,1,0.33576555097171057
Exp2,0,Stim12,Old,B,0.5772540798376786,B,1,0.42274592016232143
Exp2,0,Stim6,New,A,0.7339889043915613,A,1,0.7339889043915613
Exp2,0,Stim4,Old,A,0.6015236726118431,A,1,0.6015236726118431
Exp2,0,Stim14,Old,B,0.6462758487958324,B,1,0.35372415120416756
Exp2,0,Stim7,Old,A,0.6564253766420884,A,1,0.6564253766420884
Exp2,0,Stim9,New,A,0.5246451996427275,A,1,0.5246451996427275
Exp2,0,Stim5,Old,A,0.6500286895758524,A,1,0.6500286895758524
Exp2,0,Stim13,Old,A,0.6329375210558357,A,1,0.6329375210558357
Exp2,1,Stim7,Old,A,0.7547433844935517,A,1,0.7547433844935517
Exp2,1,Stim4,Old,A,0.633220114646275,A,1,0.633220114646275
Exp2,1,Stim8,New,B,0.5335523207258062,B,1,0.4664476792741939
Exp2,1,Stim5,Old,A,0.608281872162628,A,1,0.608281872162628
Exp2,1,Stim1,New,A,0.539291648042641,A,1,0.539291648042641
Exp2,1,Stim11,New,A,0.5275787832200672,A,1,0.5275787832200672
Exp2,1,Stim10,Old,B,0.7660604386144266,B,1,0.23393956138557337
Exp2,1,Stim15,Old,A,0.7372327232633519,A,1,0.7372327232633519
Exp2,1,Stim3,New,B,0.5159267360673193,B,1,0.4840732639326807
Exp2,1,Stim14,Old,B,0.7035509737193473,B,1,0.29644902628065267
Exp2,1,Stim2,Old,B,0.6044045939817992,B,1,0.3955954060182008
Exp2,1,Stim13,Old,A,0.6298436725872723,A,1,0.6298436725872723
Exp2,1,Stim9,New,A,0.48250725662733246,B,0,0.48250725662733246
Exp2,1,Stim16,New,B,0.6925237652223559,B,1,0.30747623477764413
Exp2,1,Stim6,New,A,0.7016402849993423,A,1,0.7016402849993423
Exp2,1,Stim12,Old,B,0.5264450449502023,B,1,0.47355495504979767
Exp2,2,Stim3,New,B,0.5049088345261173,B,1,0.49509116547388266
Exp2,2,Stim11,New,A,0.5456124993188657,A,1,0.5456124993188657
Exp2,2,Stim2,Old,B,0.578336485459642,B,1,0.421663514540358
Exp2,2,Stim8,New,B,0.5186716306833663,B,1,0.48132836931663364
Exp2,2,Stim16,New,B,0.6546561611073313,B,1,0.34534383889266873
Exp2,2,Stim12,Old,B,0.5522869720322772,B,1,0.4477130279677229
Exp2,2,Stim10,Old,B,0.6958181319541064,B,1,0.3041818680458936
Exp2,2,Stim15,Old,A,0.7288303530592235,A,1,0.7288303530592235
Exp2,2,Stim14,Old,B,0.6451449925426754,B,1,0.35485500745732457
Exp2,2,Stim5,Old,A,0.552467256096007,A,1,0.552467256096007
Exp2,2,Stim6,New,A,0.6823338174253898,A,1,0.6823338174253898
Exp2,2,Stim4,Old,A,0.586767367155548,A,1,0.586767367155548
Exp2,2,Stim13,Old,A,0.6130422999165849,A,1,0.6130422999165849
Exp2,2,Stim1,New,A,0.5675625040803874,A,1,0.5675625040803874
Exp2,2,Stim9,New,A,0.4824602447906664,B,0,0.4824602447906664
Exp2,2,Stim7,Old,A,0.6990085026640849,A,1,0.6990085026640849
Exp2,3,Stim3,New,B,0.5204329141282665,B,1,0.47956708587173347
Exp2,3,Stim6,New,A,0.7612993827830273,A,1,0.7612993827830273
Exp2,3,Stim8,New,B,0.5204329141282665,B,1,0.47956708587173347
Exp2,3,Stim10,Old,B,0.7330579830793171,B,1,0.2669420169206828
Exp2,3,Stim12,Old,B,0.5902697097401239,B,1,0.40973029025987606
Exp2,3,Stim14,Old,B,0.7450452237174554,B,1,0.2549547762825446
Exp2,3,Stim15,Old,A,0.782439514603184,A,1,0.782439514603184
Exp2,3,Stim5,Old,A,0.6560622392965854,A,1,0.6560622392965854
Exp2,3,Stim16,New,B,0.6996677711979808,B,1,0.30033222880201915
