stimulus,seed,iteration,observed_probs,observed_ranking,predicted_probs_leaf,predicted_probs_basic,predicted_probs_best,reaction_time,correlation_probs_leaf,correlation_probs_basic,correlation_probs_best,correlation_rank_leaf,correlation_rank_basic,correlation_rank_best
1,0,1,0.72,5,0.75,0.916666687,0.916666687,1.525878906,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
2,0,1,0.72,6,0.75,0.899999976,0.833333313,1.47819519,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
3,0,1,0.44,3,0.75,0.899999976,0.899999976,1.382827759,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
4,0,1,0.97,13,0.75,0.916666687,0.916666687,2.002716064,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
5,0,1,0.72,7,0.75,0.916666687,0.833333313,1.525878906,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
6,0,1,0.98,16,0.75,0.916666687,0.916666687,1.621246338,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
7,0,1,0.97,14,0.75,0.916666687,0.875,1.71661377,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
8,0,1,0.77,8,0.75,0.899999976,0.899999976,1.59740448,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
9,0,1,0.27,1,0.25,0.100000001,0.100000001,1.406669617,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
10,0,1,0.95,12,0.75,0.899999976,0.899999976,1.406669617,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
11,0,1,0.39,2,0.75,0.916666687,0.916666687,3.504753113,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
12,0,1,0.67,4,0.75,0.899999976,0.833333313,1.59740448,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
13,0,1,0.81,9,0.75,0.916666687,0.833333313,1.382827759,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
14,0,1,0.97,15,0.75,0.899999976,0.833333313,1.525878906,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
15,0,1,0.92,11,0.75,0.916666687,0.916666687,1.573562622,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
16,0,1,0.91,10,0.75,0.899999976,0.899999976,1.406669617,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
1,0,2,0.72,5,0.75,0.916666687,0.916666687,5.078315735,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
2,0,2,0.72,6,0.75,0.899999976,0.833333313,4.696846008,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
3,0,2,0.44,3,0.75,0.899999976,0.899999976,4.696846008,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
4,0,2,0.97,13,0.75,0.916666687,0.916666687,5.507469177,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
5,0,2,0.72,7,0.75,0.916666687,0.833333313,4.696846008,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
6,0,2,0.98,16,0.75,0.916666687,0.916666687,4.816055298,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
7,0,2,0.97,14,0.75,0.916666687,0.875,7.390975952,0.566168177,0.561326369,0.50041989,0.526470588,0.223529412,-0.002941176
