condition,seed,prop_consistent
correlated,0,0.25
correlated,1,0.5
correlated,2,0.5
correlated,3,0.5
correlated,4,0.75
correlated,5,0.5
correlated,6,0.5
correlated,7,0.75
correlated,8,0.5
correlated,9,0.5
correlated,10,0.5
correlated,11,0.5
correlated,12,0.75
correlated,13,0.5
correlated,14,1.0
correlated,15,0.75
correlated,16,0.5
correlated,17,0.25
correlated,18,1.0
correlated,19,0.75
correlated,20,1.0
correlated,21,0.75
correlated,22,1.0
correlated,23,0.75
correlated,24,0.5
correlated,25,0.5
correlated,26,0.5
correlated,27,0.5
correlated,28,0.75
correlated,29,0.5
uncorrelated,0,0.5
uncorrelated,1,0.25
uncorrelated,2,0.75
uncorrelated,3,0.5
uncorrelated,4,0.5
uncorrelated,5,0.75
uncorrelated,6,0.5
uncorrelated,7,1.0
uncorrelated,8,0.5
uncorrelated,9,0.25
uncorrelated,10,0.5
uncorrelated,11,0.25
uncorrelated,12,0.5
uncorrelated,13,0.25
uncorrelated,14,0.5
uncorrelated,15,0.5
uncorrelated,16,0.25
uncorrelated,17,0.75
uncorrelated,18,0.5
uncorrelated,19,0.25
uncorrelated,20,0.5
uncorrelated,21,0.5
uncorrelated,22,0.5
uncorrelated,23,0.25
uncorrelated,24,0.75
uncorrelated,25,0.75
uncorrelated,26,0.75
uncorrelated,27,0.5
uncorrelated,28,0.25
uncorrelated,29,0.5
