structure,seed,epoch,block,accuracy
separable,1,1,1,1.0
separable,1,1,2,1.0
separable,1,1,3,1.0
separable,1,1,4,1.0
separable,1,1,5,1.0
separable,1,1,6,1.0
separable,1,1,7,1.0
separable,1,1,8,1.0
separable,1,1,9,1.0
separable,1,1,10,1.0
separable,1,1,11,1.0
separable,1,1,12,1.0
separable,1,1,13,1.0
separable,1,1,14,1.0
separable,1,1,15,1.0
separable,1,2,1,1.0
separable,1,2,2,1.0
separable,1,2,3,1.0
separable,1,2,4,1.0
separable,1,2,5,1.0
separable,1,2,6,1.0
separable,1,2,7,1.0
separable,1,2,8,1.0
separable,1,2,9,1.0
separable,1,2,10,1.0
separable,1,2,11,1.0
separable,1,2,12,1.0
separable,1,2,13,1.0
separable,1,2,14,1.0
separable,1,2,15,1.0
separable,1,3,1,1.0
separable,1,3,2,1.0
separable,1,3,3,1.0
separable,1,3,4,1.0
separable,1,3,5,1.0
separable,1,3,6,1.0
separable,1,3,7,1.0
separable,1,3,8,1.0
separable,1,3,9,1.0
separable,1,3,10,1.0
separable,1,3,11,1.0
separable,1,3,12,1.0
separable,1,3,13,1.0
separable,1,3,14,1.0
separable,1,3,15,1.0
separable,1,4,1,1.0
separable,1,4,2,1.0
separable,1,4,3,1.0
separable,1,4,4,1.0
separable,1,4,5,1.0
separable,1,4,6,1.0
separable,1,4,7,1.0
separable,1,4,8,1.0
separable,1,4,9,1.0
separable,1,4,10,1.0
separable,1,4,11,1.0
separable,1,4,12,1.0
separable,1,4,13,1.0
separable,1,4,14,1.0
separable,1,4,15,1.0
separable,32,1,1,1.0
separable,32,1,2,1.0
separable,32,1,3,1.0
separable,32,1,4,1.0
separable,32,1,5,1.0
separable,32,1,6,1.0
separable,32,1,7,1.0
separable,32,1,8,1.0
separable,32,1,9,1.0
separable,32,1,10,1.0
separable,32,1,11,1.0
separable,32,1,12,1.0
separable,32,1,13,1.0
separable,32,1,14,1.0
separable,32,1,15,1.0
separable,32,2,1,1.0
separable,32,2,2,1.0
separable,32,2,3,1.0
separable,32,2,4,1.0
separable,32,2,5,1.0
separable,32,2,6,1.0
separable,32,2,7,1.0
separable,32,2,8,1.0
separable,32,2,9,1.0
separable,32,2,10,1.0
separable,32,2,11,1.0
separable,32,2,12,1.0
separable,32,2,13,1.0
separable,32,2,14,1.0
separable,32,2,15,1.0
separable,32,3,1,1.0
separable,32,3,2,1.0
separable,32,3,3,1.0
separable,32,3,4,1.0
separable,32,3,5,1.0
separable,32,3,6,1.0
separable,32,3,7,1.0
separable,32,3,8,1.0
separable,32,3,9,1.0
separable,32,3,10,1.0
separable,32,3,11,1.0
separable,32,3,12,1.0
separable,32,3,13,1.0
separable,32,3,14,1.0
separable,32,3,15,1.0
separable,32,4,1,1.0
separable,32,4,2,1.0
separable,32,4,3,1.0
separable,32,4,4,1.0
separable,32,4,5,1.0
separable,32,4,6,1.0
separable,32,4,7,1.0
separable,32,4,8,1.0
separable,32,4,9,1.0
separable,32,4,10,1.0
separable,32,4,11,1.0
separable,32,4,12,1.0
separable,32,4,13,1.0
separable,32,4,14,1.0
separable,32,4,15,1.0
separable,64,1,1,1.0
separable,64,1,2,1.0
separable,64,1,3,1.0
separable,64,1,4,1.0
separable,64,1,5,1.0
separable,64,1,6,1.0
separable,64,1,7,1.0
separable,64,1,8,1.0
separable,64,1,9,1.0
separable,64,1,10,1.0
separable,64,1,11,1.0
separable,64,1,12,1.0
separable,64,1,13,1.0
separable,64,1,14,1.0
separable,64,1,15,1.0
separable,64,2,1,1.0
separable,64,2,2,1.0
separable,64,2,3,1.0
separable,64,2,4,1.0
separable,64,2,5,1.0
separable,64,2,6,1.0
separable,64,2,7,1.0
separable,64,2,8,1.0
separable,64,2,9,1.0
separable,64,2,10,1.0
separable,64,2,11,1.0
separable,64,2,12,1.0
separable,64,2,13,1.0
separable,64,2,14,1.0
separable,64,2,15,1.0
separable,64,3,1,1.0
