seed,epoch,block,concept,fan_size,fact,prob
1,1,1,c1,1,f1,0.4829951226711273
1,1,1,c2,2,f2,0.5505741834640503
1,1,1,c2,2,f3,0.17904800176620483
1,1,1,c3,4,f4,0.2931676208972931
1,1,1,c3,4,f5,0.16201052069664001
1,1,1,c3,4,f6,0.2947944700717926
1,1,1,c3,4,f7,0.07590979337692261
1,1,2,c1,1,f1,0.5141463279724121
1,1,2,c2,2,f2,0.8008357882499695
1,1,2,c2,2,f3,0.06694195419549942
1,1,2,c3,4,f4,0.2721707224845886
1,1,2,c3,4,f5,0.08297694474458694
1,1,2,c3,4,f6,0.3689683973789215
1,1,2,c3,4,f7,0.08297694474458694
1,1,3,c1,1,f1,0.5242716670036316
1,1,3,c2,2,f2,0.8407321572303772
1,1,3,c2,2,f3,0.06128667667508125
1,1,3,c3,4,f4,0.13248208165168762
1,1,3,c3,4,f5,0.09965650737285614
1,1,3,c3,4,f6,0.42604243755340576
1,1,3,c3,4,f7,0.09965650737285614
1,1,4,c1,1,f1,0.5293257832527161
1,1,4,c2,2,f2,0.8806246519088745
1,1,4,c2,2,f3,0.0551581010222435
1,1,4,c3,4,f4,0.13249421119689941
1,1,4,c3,4,f5,0.09915275871753693
1,1,4,c3,4,f6,0.4289562702178955
1,1,4,c3,4,f7,0.09915275871753693
1,1,5,c1,1,f1,0.5323453545570374
1,1,5,c2,2,f2,0.8906428217887878
1,1,5,c2,2,f3,0.053808677941560745
1,1,5,c3,4,f4,0.13250809907913208
1,1,5,c3,4,f5,0.09884541481733322
1,1,5,c3,4,f6,0.4307325780391693
1,1,5,c3,4,f7,0.09884541481733322
1,1,6,c1,1,f1,0.5343778133392334
1,1,6,c2,2,f2,0.8970317244529724
1,1,6,c2,2,f3,0.05296079069375992
1,1,6,c3,4,f4,0.13251954317092896
1,1,6,c3,4,f5,0.09863890707492828
1,1,6,c3,4,f6,0.4319242238998413
1,1,6,c3,4,f7,0.09863890707492828
1,1,7,c1,1,f1,0.5358244776725769
1,1,7,c2,2,f2,0.9014660120010376
1,1,7,c2,2,f3,0.05237840861082077
1,1,7,c3,4,f4,0.13252811133861542
1,1,7,c3,4,f5,0.09849131107330322
1,1,7,c3,4,f6,0.43277397751808167
1,1,7,c3,4,f7,0.09849131107330322
1,1,8,c1,1,f1,0.5369048714637756
1,1,8,c2,2,f2,0.9047253131866455
1,1,8,c2,2,f3,0.05195363238453865
1,1,8,c3,4,f4,0.13253428041934967
1,1,8,c3,4,f5,0.09838104993104935
1,1,8,c3,4,f6,0.4334070384502411
1,1,8,c3,4,f7,0.09838104993104935
1,1,9,c1,1,f1,0.537743866443634
1,1,9,c2,2,f2,0.9072228074073792
1,1,9,c2,2,f3,0.05163009092211723
1,1,9,c3,4,f4,0.13253867626190186
1,1,9,c3,4,f5,0.09829577058553696
1,1,9,c3,4,f6,0.43389490246772766
1,1,9,c3,4,f7,0.09829577058553696
1,1,10,c1,1,f1,0.5384149551391602
1,1,10,c2,2,f2,0.9091979265213013
1,1,10,c2,2,f3,0.051375433802604675
1,1,10,c3,4,f4,0.13254337012767792
1,1,10,c3,4,f5,0.0982264056801796
1,1,10,c3,4,f6,0.43429329991340637
1,1,10,c3,4,f7,0.0982264056801796
1,1,11,c1,1,f1,0.5389620661735535
1,1,11,c2,2,f2,0.9107992649078369
1,1,11,c2,2,f3,0.05116977170109749
1,1,11,c3,4,f4,0.13254867494106293
1,1,11,c3,4,f5,0.09816829860210419
