seed,epoch,block,concept,fan_size,fact,prob
1,1,1,c1,1,f1,0.09066686034202576
1,1,1,c2,2,f2,0.06281361728906631
1,1,1,c2,2,f3,0.06088769808411598
1,1,1,c3,4,f4,0.051067452877759933
1,1,1,c3,4,f5,0.0510762557387352
1,1,1,c3,4,f6,0.04910070821642876
1,1,1,c3,4,f7,0.05301965773105621
1,1,1,c4,8,f8,0.0448860228061676
1,1,1,c4,8,f9,0.04111378267407417
1,1,1,c4,8,f10,0.03928069397807121
1,1,1,c4,8,f11,0.0448753759264946
1,1,1,c4,8,f12,0.04863453283905983
1,1,1,c4,8,f13,0.033966805785894394
1,1,1,c4,8,f14,0.03740427643060684
1,1,1,c4,8,f15,0.03210011124610901
1,1,1,c5,16,f16,0.03551770746707916
1,1,1,c5,16,f17,0.033706411719322205
1,1,1,c5,16,f18,0.03313298523426056
1,1,1,c5,16,f19,0.03551961109042168
1,1,1,c5,16,f20,0.033706411719322205
1,1,1,c5,16,f21,0.03855938836932182
1,1,1,c5,16,f22,0.035519570112228394
1,1,1,c5,16,f23,0.034941039979457855
1,1,1,c5,16,f24,0.03913397341966629
1,1,1,c5,16,f25,0.049482814967632294
1,1,1,c5,16,f26,0.034939493983983994
1,1,1,c5,16,f27,0.042254697531461716
1,1,1,c5,16,f28,0.04274493083357811
1,1,1,c5,16,f29,0.040949273854494095
1,1,1,c5,16,f30,0.033706411719322205
1,1,1,c5,16,f31,0.03313298523426056
1,1,2,c1,1,f1,0.09119229763746262
1,1,2,c2,2,f2,0.059912048280239105
1,1,2,c2,2,f3,0.06585922837257385
1,1,2,c3,4,f4,0.046603064984083176
1,1,2,c3,4,f5,0.05047419294714928
1,1,2,c3,4,f6,0.054946620017290115
1,1,2,c3,4,f7,0.056265540421009064
1,1,2,c4,8,f8,0.04707346856594086
1,1,2,c4,8,f9,0.03584728762507439
1,1,2,c4,8,f10,0.04333644360303879
1,1,2,c4,8,f11,0.04333002120256424
1,1,2,c4,8,f12,0.054550401866436005
1,1,2,c4,8,f13,0.03019006736576557
1,1,2,c4,8,f14,0.039594102650880814
1,1,2,c4,8,f15,0.03019006736576557
1,1,2,c5,16,f16,0.03729995712637901
1,1,2,c5,16,f17,0.03368052467703819
1,1,2,c5,16,f18,0.033320099115371704
1,1,2,c5,16,f19,0.03730374574661255
1,1,2,c5,16,f20,0.03368052467703819
1,1,2,c5,16,f21,0.04055105522274971
1,1,2,c5,16,f22,0.03730367124080658
1,1,2,c5,16,f23,0.033320099115371704
1,1,2,c5,16,f24,0.04091691970825195
1,1,2,c5,16,f25,0.04433190077543259
1,1,2,c5,16,f26,0.033320099115371704
1,1,2,c5,16,f27,0.04433190077543259
1,1,2,c5,16,f28,0.03729662671685219
1,1,2,c5,16,f29,0.0481535941362381
1,1,2,c5,16,f30,0.03368052467703819
1,1,2,c5,16,f31,0.033320099115371704
1,1,3,c1,1,f1,0.0923442393541336
1,1,3,c2,2,f2,0.0682753473520279
1,1,3,c2,2,f3,0.058356985449790955
1,1,3,c3,4,f4,0.049054913222789764
1,1,3,c3,4,f5,0.05485544353723526
1,1,3,c3,4,f6,0.05110659822821617
1,1,3,c3,4,f7,0.05485592409968376
1,1,3,c4,8,f8,0.04718584567308426
1,1,3,c4,8,f9,0.03596503287553787
1,1,3,c4,8,f10,0.047188740223646164
1,1,3,c4,8,f11,0.041585247963666916
1,1,3,c4,8,f12,0.050935208797454834
1,1,3,c4,8,f13,0.03017401695251465
1,1,3,c4,8,f14,0.04158021882176399
1,1,3,c4,8,f15,0.03017401695251465
1,1,3,c5,16,f16,0.03908681124448776
1,1,3,c5,16,f17,0.03365958109498024
1,1,3,c5,16,f18,0.033383775502443314
1,1,3,c5,16,f19,0.03909250348806381
1,1,3,c5,16,f20,0.03365958109498024
1,1,3,c5,16,f21,0.033383775502443314
1,1,3,c5,16,f22,0.03909238427877426
1,1,3,c5,16,f23,0.033383775502443314
1,1,3,c5,16,f24,0.03908960521221161
1,1,3,c5,16,f25,0.0452110655605793
1,1,3,c5,16,f26,0.033383775502443314
1,1,3,c5,16,f27,0.0452110655605793
1,1,3,c5,16,f28,0.03365958109498024
1,1,3,c5,16,f29,0.055361565202474594
1,1,3,c5,16,f30,0.03365958109498024
1,1,3,c5,16,f31,0.033383775502443314
1,1,4,c1,1,f1,0.09302575141191483
1,1,4,c2,2,f2,0.06452620774507523
1,1,4,c2,2,f3,0.0625808835029602
1,1,4,c3,4,f4,0.05126727372407913
1,1,4,c3,4,f5,0.05899828299880028
1,1,4,c3,4,f6,0.047257911413908005
1,1,4,c3,4,f7,0.05320045351982117
1,1,4,c4,8,f8,0.04350758716464043
1,1,4,c4,8,f9,0.036027245223522186
1,1,4,c4,8,f10,0.0472489595413208
1,1,4,c4,8,f11,0.043519191443920135
1,1,4,c4,8,f12,0.05099865794181824
1,1,4,c4,8,f13,0.030165543779730797
1,1,4,c4,8,f14,0.043512485921382904
1,1,4,c4,8,f15,0.030165543779730797
1,1,4,c5,16,f16,0.04088019207119942
1,1,4,c5,16,f17,0.03364577144384384
1,1,4,c5,16,f18,0.03341527283191681
1,1,4,c5,16,f19,0.04088777303695679
1,1,4,c5,16,f20,0.03364577144384384
1,1,4,c5,16,f21,0.03341527283191681
1,1,4,c5,16,f22,0.04088761657476425
1,1,4,c5,16,f23,0.03341527283191681
1,1,4,c5,16,f24,0.040883902460336685
1,1,4,c5,16,f25,0.045695580542087555
1,1,4,c5,16,f26,0.03341527283191681
1,1,4,c5,16,f27,0.045695580542087555
1,1,4,c5,16,f28,0.03364577144384384
1,1,4,c5,16,f29,0.048116330057382584
1,1,4,c5,16,f30,0.03364577144384384
1,1,4,c5,16,f31,0.03341527283191681
1,1,5,c1,1,f1,0.09348388016223907
1,1,5,c2,2,f2,0.058711230754852295
1,1,5,c2,2,f3,0.0686940923333168
1,1,5,c3,4,f4,0.05337513983249664
1,1,5,c3,4,f5,0.05337253212928772
1,1,5,c3,4,f6,0.05113232508301735
1,1,5,c3,4,f7,0.05337559059262276
1,1,5,c4,8,f8,0.037935059517621994
1,1,5,c4,8,f9,0.036065246909856796
1,1,5,c4,8,f10,0.04541618376970291
1,1,5,c4,8,f11,0.0454287976026535
1,1,5,c4,8,f12,0.05477676913142204
1,1,5,c4,8,f13,0.030160343274474144
1,1,5,c4,8,f14,0.04542041942477226
1,1,5,c4,8,f15,0.030160343274474144
1,1,5,c5,16,f16,0.04086991026997566
1,1,5,c5,16,f17,0.03363644331693649
1,1,5,c5,16,f18,0.033434122800827026
1,1,5,c5,16,f19,0.04268776625394821
1,1,5,c5,16,f20,0.03363644331693649
1,1,5,c5,16,f21,0.033434122800827026
1,1,5,c5,16,f22,0.04268757253885269
1,1,5,c5,16,f23,0.033434122800827026
1,1,5,c5,16,f24,0.04268292710185051
1,1,5,c5,16,f25,0.0460033044219017
1,1,5,c5,16,f26,0.033434122800827026
1,1,5,c5,16,f27,0.0460033044219017
1,1,5,c5,16,f28,0.03363644331693649
1,1,5,c5,16,f29,0.04268205538392067
1,1,5,c5,16,f30,0.03363644331693649
1,1,5,c5,16,f31,0.033434122800827026
1,1,6,c1,1,f1,0.09380848705768585
1,1,6,c2,2,f2,0.052838511765003204
1,1,6,c2,2,f3,0.07477836310863495
1,1,6,c3,4,f4,0.05542770028114319
1,1,6,c3,4,f5,0.04575774073600769
1,1,6,c3,4,f6,0.05500512570142746
1,1,6,c3,4,f7,0.05542823672294617
1,1,6,c4,8,f8,0.03609082102775574
1,1,6,c4,8,f9,0.03609082102775574
1,1,6,c4,8,f10,0.0398307740688324
1,1,6,c4,8,f11,0.04732584208250046
1,1,6,c4,8,f12,0.05854213610291481
1,1,6,c4,8,f13,0.03015683777630329
1,1,6,c4,8,f14,0.047315776348114014
1,1,6,c4,8,f15,0.03015683777630329
1,1,6,c5,16,f16,0.03362967073917389
1,1,6,c5,16,f17,0.03362967073917389
1,1,6,c5,16,f18,0.033446576446294785
1,1,6,c5,16,f19,0.04449009150266647
