task,type,stimuliA,stimuliB
1,1,"1, 2, 3, 4","5, 6, 7, 8"
2,1,"1, 2, 5, 6","3, 4, 7, 8"
3,1,"1, 3, 5, 7","2, 4, 6, 8"
4,1,"5, 6, 7, 8","1, 2, 3, 4"
5,1,"3, 4, 7, 8","1, 2, 5, 6"
6,1,"2, 4, 6, 8","1, 3, 5, 7"
7,2,"1, 2, 7, 8","3, 4, 5, 6"
8,2,"1, 3, 6, 8","2, 4, 5, 7"
9,2,"1, 5, 4, 8","2, 6, 3, 7"
10,2,"3, 4, 5, 6","1, 2, 7, 8"
11,2,"2, 4, 5, 7","1, 3, 6, 8"
12,2,"2, 6, 3, 7","1, 5, 4, 8"
13,3,"1, 2, 3, 6","8, 7, 4, 5"
14,3,"5, 6, 7, 2","4, 3, 8, 1"
15,3,"4, 3, 2, 7","5, 6, 1, 8"
16,3,"8, 7, 4, 5","1, 2, 3, 6"
17,3,"4, 3, 8, 1","5, 6, 7, 2"
18,3,"5, 6, 1, 8","4, 3, 2, 7"
19,4,"2, 6, 4, 1","7, 3, 5, 8"
20,4,"3, 7, 1, 4","6, 2, 8, 5"
21,4,"4, 8, 2, 3","5, 1, 7, 6"
22,4,"7, 3, 5, 8","2, 6, 4, 1"
23,4,"6, 2, 8, 5","3, 7, 1, 4"
24,4,"5, 1, 7, 6","4, 8, 2, 3"
25,5,"1, 2, 3, 8","5, 6, 7, 4"
26,5,"2, 1, 4, 7","6, 5, 8, 3"
27,5,"7, 8, 5, 2","3, 4, 1, 6"
28,5,"5, 6, 7, 4","1, 2, 3, 8"
29,5,"6, 5, 8, 3","2, 1, 4, 7"
30,5,"3, 4, 1, 6","7, 8, 5, 2"
31,6,"1, 4, 6, 7","2, 3, 5, 8"
32,6,"2, 3, 5, 8","1, 4, 6, 7"
33,6,"1, 4, 6, 7","2, 3, 5, 8"
34,6,"2, 3, 5, 8","1, 4, 6, 7"
35,6,"1, 4, 6, 7","2, 3, 5, 8"
36,6,"2, 3, 5, 8","1, 4, 6, 7"
