seed,condition_base_rate,block,response_prob_A,actual_prop_A
123,0.1,1,0.40829654356892986,0.16
123,0.1,2,0.24336657257721608,0.04
123,0.1,3,0.1885825861530254,0.16
123,0.1,4,0.1580016409661132,0.16
123,0.1,5,0.12315374913523292,0.08
123,0.1,6,0.13623478557970137,0.16
123,0.1,7,0.10396341664296896,0.04
123,0.1,8,0.1175099569971456,0.04
123,0.1,9,0.10251865043073943,0.16
123,0.1,10,0.09391194280771005,0.0
123,0.3,1,0.45543705140399415,0.4
123,0.3,2,0.37670465739601006,0.36
123,0.3,3,0.3867232492283284,0.36
123,0.3,4,0.3217617922462063,0.32
123,0.3,5,0.4686017974067884,0.4
123,0.3,6,0.35582050227709366,0.12
123,0.3,7,0.33153158217724443,0.2
123,0.3,8,0.4290132032192055,0.48
123,0.3,9,0.4243524243752937,0.4
123,0.3,10,0.36247264851989713,0.28
123,0.5,1,0.497202964394585,0.56
123,0.5,2,0.5457532964288135,0.48
123,0.5,3,0.5527888658591317,0.36
123,0.5,4,0.4084307245058454,0.36
123,0.5,5,0.5137326380269038,0.56
123,0.5,6,0.5204242716337683,0.36
123,0.5,7,0.43811388363974735,0.44
123,0.5,8,0.43905014521977537,0.6
123,0.5,9,0.4907512712475026,0.56
123,0.5,10,0.5761680394331485,0.44
123,0.7,1,0.42912841108428684,0.56
123,0.7,2,0.631375930487104,0.72
123,0.7,3,0.6594750242491869,0.76
123,0.7,4,0.6639082250609926,0.68
123,0.7,5,0.6335028019777315,0.72
123,0.7,6,0.7156932000442876,0.6
123,0.7,7,0.6079909021758229,0.72
123,0.7,8,0.7181411505284726,0.72
123,0.7,9,0.6518786745596059,0.72
123,0.7,10,0.6076927355375239,0.6
123,0.9,1,0.7553681696618643,0.88
123,0.9,2,0.7741313124821516,0.92
123,0.9,3,0.7905055883038553,0.8
123,0.9,4,0.8024135458353026,1.0
123,0.9,5,0.8238625947288183,0.88
123,0.9,6,0.8681223228776405,0.92
123,0.9,7,0.8801352864512607,0.8
123,0.9,8,0.8898493533421589,0.8
123,0.9,9,0.8863750339704037,0.92
123,0.9,10,0.8658917500673907,0.88
