seed,symptom,true_p_rare,pred_p_rare
0,S1,0.4999999999999999,0.44776065553353467
0,S2,0.30769230769230776,0.4206105464468371
0,S3,0.19999999999999996,0.3688598616010195
0,S4,0.10000000000000002,0.28691432536210265
1,S1,0.4999999999999999,0.5151958718113343
1,S2,0.30769230769230776,0.417577435242697
1,S3,0.19999999999999996,0.3815042598349956
1,S4,0.10000000000000002,0.31709694400765115
2,S1,0.4999999999999999,0.5562418800957291
2,S2,0.30769230769230776,0.5149777376350156
2,S3,0.19999999999999996,0.4770602982742571
2,S4,0.10000000000000002,0.39262162297245917
3,S1,0.4999999999999999,0.5178230725435627
3,S2,0.30769230769230776,0.4552689707101569
3,S3,0.19999999999999996,0.4352621690624407
3,S4,0.10000000000000002,0.323182342227742
4,S1,0.4999999999999999,0.5648776300562438
4,S2,0.30769230769230776,0.5270774772265109
4,S3,0.19999999999999996,0.4710824309816377
4,S4,0.10000000000000002,0.46000557294522315
5,S1,0.4999999999999999,0.4492180633163734
5,S2,0.30769230769230776,0.36836721397890104
5,S3,0.19999999999999996,0.33299141549186423
5,S4,0.10000000000000002,0.29768423599604377
6,S1,0.4999999999999999,0.5686229686031476
6,S2,0.30769230769230776,0.46725178838228315
6,S3,0.19999999999999996,0.42457651678040925
6,S4,0.10000000000000002,0.3331908788796007
7,S1,0.4999999999999999,0.5217326109751619
7,S2,0.30769230769230776,0.5076740404476541
7,S3,0.19999999999999996,0.42391558522984696
7,S4,0.10000000000000002,0.327399901225515
8,S1,0.4999999999999999,0.5080994059461282
8,S2,0.30769230769230776,0.4521359311260404
8,S3,0.19999999999999996,0.3864698277385548
8,S4,0.10000000000000002,0.3338840674173559
9,S1,0.4999999999999999,0.5341294308110218
9,S2,0.30769230769230776,0.46301629911706627
9,S3,0.19999999999999996,0.4382618034249009
9,S4,0.10000000000000002,0.3031266362517067
10,S1,0.4999999999999999,0.5241048641213422
10,S2,0.30769230769230776,0.4020515310225166
10,S3,0.19999999999999996,0.46332859566707085
10,S4,0.10000000000000002,0.33053425444508194
11,S1,0.4999999999999999,0.5301135083104183
11,S2,0.30769230769230776,0.42782145861152854
11,S3,0.19999999999999996,0.34313621141361966
11,S4,0.10000000000000002,0.38099559578758385
12,S1,0.4999999999999999,0.4796390271072776
12,S2,0.30769230769230776,0.4384560830523063
12,S3,0.19999999999999996,0.37626628794051126
12,S4,0.10000000000000002,0.3147483235385613
13,S1,0.4999999999999999,0.5924740252482278
13,S2,0.30769230769230776,0.5013922498481493
13,S3,0.19999999999999996,0.434348363790408
13,S4,0.10000000000000002,0.43233146786542215
14,S1,0.4999999999999999,0.523218583483434
14,S2,0.30769230769230776,0.4713815471078211
14,S3,0.19999999999999996,0.4547707871182976
14,S4,0.10000000000000002,0.4069105292764179
15,S1,0.4999999999999999,0.4824123116457941
15,S2,0.30769230769230776,0.47779607802652596
15,S3,0.19999999999999996,0.43203403376821126
15,S4,0.10000000000000002,0.3454939952524543
16,S1,0.4999999999999999,0.48858239407747334
16,S2,0.30769230769230776,0.49558920794811284
16,S3,0.19999999999999996,0.3942941370110116
16,S4,0.10000000000000002,0.2980728640171765
17,S1,0.4999999999999999,0.4860502156453292
17,S2,0.30769230769230776,0.4528071409630915
17,S3,0.19999999999999996,0.36950161252114855
17,S4,0.10000000000000002,0.3117617737461205
18,S1,0.4999999999999999,0.5372021208487312
18,S2,0.30769230769230776,0.4573491548792343
18,S3,0.19999999999999996,0.418142738181604
18,S4,0.10000000000000002,0.3245861858235204
19,S1,0.4999999999999999,0.46847288396987047
19,S2,0.30769230769230776,0.434529245516242
19,S3,0.19999999999999996,0.3812847421176744
19,S4,0.10000000000000002,0.3447077872549137
