stimulus,category,seed,block,epoch,pred_A,pred_B
1,A,1,1,1,0.71913356,0.28086653
2,A,1,1,1,0.7128819,0.28711808
3,A,1,1,1,0.712882,0.28711805
4,A,1,1,1,0.73064727,0.26935273
5,A,1,1,1,0.70879704,0.29120293
6,A,1,1,1,0.7128819,0.28711808
7,A,1,1,1,0.4780774,0.52192247
8,B,1,1,1,0.25555244,0.7444475
9,B,1,1,1,0.2593649,0.7406352
10,B,1,1,1,0.25936487,0.7406352
11,B,1,1,1,0.25946972,0.7405304
12,B,1,1,1,0.25654596,0.743454
13,B,1,1,1,0.25936487,0.7406352
14,B,1,1,1,0.50526464,0.4947353
1,A,1,2,1,0.8276998,0.1723002
2,A,1,2,1,0.81852955,0.18147041
3,A,1,2,1,0.80070937,0.1992906
4,A,1,2,1,0.83201265,0.16798724
5,A,1,2,1,0.7998561,0.20014387
6,A,1,2,1,0.8349167,0.16508329
7,A,1,2,1,0.48605597,0.513944
8,B,1,2,1,0.18220285,0.81779706
9,B,1,2,1,0.18478057,0.8152193
10,B,1,2,1,0.20622508,0.79377484
11,B,1,2,1,0.17549977,0.8245003
12,B,1,2,1,0.1766004,0.8233997
13,B,1,2,1,0.20483911,0.7951608
14,B,1,2,1,0.55290467,0.44709522
1,A,1,3,1,0.84582984,0.15417029
2,A,1,3,1,0.8403943,0.1596058
3,A,1,3,1,0.8555467,0.1444533
4,A,1,3,1,0.84031963,0.15968052
5,A,1,3,1,0.8354445,0.16455552
6,A,1,3,1,0.8403943,0.1596058
7,A,1,3,1,0.49736473,0.5026353
8,B,1,3,1,0.15417027,0.84582984
9,B,1,3,1,0.1596058,0.84039426
10,B,1,3,1,0.15968052,0.8403196
11,B,1,3,1,0.1444533,0.8555467
12,B,1,3,1,0.16455552,0.8354445
13,B,1,3,1,0.1596058,0.84039426
14,B,1,3,1,0.50263524,0.4973648
1,A,1,4,1,0.8662895,0.13371058
2,A,1,4,1,0.8606613,0.13933863
3,A,1,4,1,0.87832934,0.12167072
4,A,1,4,1,0.86057556,0.13942441
5,A,1,4,1,0.85540473,0.14459518
6,A,1,4,1,0.8606612,0.13933863
7,A,1,4,1,0.5020498,0.49795017
8,B,1,4,1,0.13371058,0.8662895
9,B,1,4,1,0.13933863,0.86066127
10,B,1,4,1,0.13942443,0.86057544
11,B,1,4,1,0.12167073,0.87832934
12,B,1,4,1,0.14459519,0.8554047
13,B,1,4,1,0.13933864,0.8606612
14,B,1,4,1,0.49795017,0.5020498
1,A,1,5,1,0.88000613,0.11999388
2,A,1,5,1,0.87426674,0.12573329
3,A,1,5,1,0.8936287,0.10637138
4,A,1,5,1,0.87417316,0.12582685
