stimulus,category,seed,block,epoch,leaf_A,leaf_B,basic_A,basic_B,best_A,best_B
1,A,1,1,1,0.75,0.25,0.9285714030265808,0.0714285746216774,0.8125,0.1875
2,A,1,1,1,0.75,0.25,0.9285714030265808,0.0714285746216774,0.8125,0.1875
3,A,1,1,1,0.75,0.25,0.9285714030265808,0.0714285746216774,0.8125,0.1875
4,A,1,1,1,0.75,0.25,0.9285714030265808,0.0714285746216774,0.8125,0.1875
5,A,1,1,1,0.75,0.25,0.9285714030265808,0.0714285746216774,0.8125,0.1875
6,A,1,1,1,0.75,0.25,0.9285714030265808,0.0714285746216774,0.8125,0.1875
7,A,1,1,1,0.75,0.25,0.1875,0.8125,0.1875,0.8125
8,B,1,1,1,0.25,0.75,0.0714285746216774,0.9285714030265808,0.1875,0.8125
9,B,1,1,1,0.25,0.75,0.0714285746216774,0.9285714030265808,0.1875,0.8125
10,B,1,1,1,0.25,0.75,0.0714285746216774,0.9285714030265808,0.1875,0.8125
11,B,1,1,1,0.25,0.75,0.0714285746216774,0.9285714030265808,0.1875,0.8125
12,B,1,1,1,0.25,0.75,0.0714285746216774,0.9285714030265808,0.1875,0.8125
13,B,1,1,1,0.25,0.75,0.0714285746216774,0.9285714030265808,0.1875,0.8125
14,B,1,1,1,0.25,0.75,0.8125,0.1875,0.8125,0.1875
1,A,1,2,1,0.8333333134651184,0.1666666716337204,0.9615384340286255,0.03846153989434242,0.8333333134651184,0.1666666716337204
2,A,1,2,1,0.8333333134651184,0.1666666716337204,0.9615384340286255,0.03846153989434242,0.9285714030265808,0.0714285746216774
3,A,1,2,1,0.8333333134651184,0.1666666716337204,0.9615384340286255,0.03846153989434242,0.8999999761581421,0.10000000149011612
4,A,1,2,1,0.8333333134651184,0.1666666716337204,0.9615384340286255,0.03846153989434242,0.9444444179534912,0.0555555559694767
5,A,1,2,1,0.8333333134651184,0.1666666716337204,0.9615384340286255,0.03846153989434242,0.9615384340286255,0.03846153989434242
6,A,1,2,1,0.8333333134651184,0.1666666716337204,0.9615384340286255,0.03846153989434242,0.9545454382896423,0.04545454680919647
7,A,1,2,1,0.8333333134651184,0.1666666716337204,0.1666666716337204,0.8333333134651184,0.1666666716337204,0.8333333134651184
8,B,1,2,1,0.1666666716337204,0.8333333134651184,0.03846153989434242,0.9615384340286255,0.1666666716337204,0.8333333134651184
9,B,1,2,1,0.1666666716337204,0.8333333134651184,0.03846153989434242,0.9615384340286255,0.0714285746216774,0.9285714030265808
10,B,1,2,1,0.1666666716337204,0.8333333134651184,0.03846153989434242,0.9615384340286255,0.03846153989434242,0.9615384340286255
11,B,1,2,1,0.1666666716337204,0.8333333134651184,0.03846153989434242,0.9615384340286255,0.0555555559694767,0.9444444179534912
12,B,1,2,1,0.1666666716337204,0.8333333134651184,0.03846153989434242,0.9615384340286255,0.10000000149011612,0.8999999761581421
13,B,1,2,1,0.1666666716337204,0.8333333134651184,0.03846153989434242,0.9615384340286255,0.04545454680919647,0.9545454382896423
14,B,1,2,1,0.1666666716337204,0.8333333134651184,0.8333333134651184,0.1666666716337204,0.8333333134651184,0.1666666716337204
1,A,1,3,1,0.875,0.125,0.9736841917037964,0.02631578966975212,0.8409090638160706,0.15909090638160706
2,A,1,3,1,0.875,0.125,0.9736841917037964,0.02631578966975212,0.949999988079071,0.05000000074505806
3,A,1,3,1,0.875,0.125,0.9736841917037964,0.02631578966975212,0.9285714030265808,0.0714285746216774
4,A,1,3,1,0.875,0.125,0.9736841917037964,0.02631578966975212,0.9615384340286255,0.03846153989434242
5,A,1,3,1,0.875,0.125,0.9736841917037964,0.02631578966975212,0.96875,0.03125
6,A,1,3,1,0.875,0.125,0.9736841917037964,0.02631578966975212,0.9736841917037964,0.02631578966975212
7,A,1,3,1,0.875,0.125,0.15909090638160706,0.8409090638160706,0.15909090638160706,0.8409090638160706
8,B,1,3,1,0.125,0.875,0.02631578966975212,0.9736841917037964,0.15909090638160706,0.8409090638160706
9,B,1,3,1,0.125,0.875,0.02631578966975212,0.9736841917037964,0.05000000074505806,0.949999988079071
10,B,1,3,1,0.125,0.875,0.02631578966975212,0.9736841917037964,0.03125,0.96875
11,B,1,3,1,0.125,0.875,0.02631578966975212,0.9736841917037964,0.03846153989434242,0.9615384340286255
12,B,1,3,1,0.125,0.875,0.02631578966975212,0.9736841917037964,0.0714285746216774,0.9285714030265808
13,B,1,3,1,0.125,0.875,0.02631578966975212,0.9736841917037964,0.02631578966975212,0.9736841917037964
14,B,1,3,1,0.125,0.875,0.8409090638160706,0.15909090638160706,0.8409090638160706,0.15909090638160706
1,A,1,4,1,0.8999999761581421,0.10000000149011612,0.9800000190734863,0.019999999552965164,0.8448275923728943,0.1551724076271057
2,A,1,4,1,0.8999999761581421,0.10000000149011612,0.9800000190734863,0.019999999552965164,0.9615384340286255,0.03846153989434242
3,A,1,4,1,0.8999999761581421,0.10000000149011612,0.9800000190734863,0.019999999552965164,0.9444444179534912,0.0555555559694767
4,A,1,4,1,0.8999999761581421,0.10000000149011612,0.9800000190734863,0.019999999552965164,0.8999999761581421,0.10000000149011612
5,A,1,4,1,0.8999999761581421,0.10000000149011612,0.9800000190734863,0.019999999552965164,0.8999999761581421,0.10000000149011612
6,A,1,4,1,0.8999999761581421,0.10000000149011612,0.9800000190734863,0.019999999552965164,0.8999999761581421,0.10000000149011612
7,A,1,4,1,0.8999999761581421,0.10000000149011612,0.1551724076271057,0.8448275923728943,0.8999999761581421,0.10000000149011612
8,B,1,4,1,0.10000000149011612,0.8999999761581421,0.019999999552965164,0.9800000190734863,0.1551724076271057,0.8448275923728943
9,B,1,4,1,0.10000000149011612,0.8999999761581421,0.019999999552965164,0.9800000190734863,0.03846153989434242,0.9615384340286255
10,B,1,4,1,0.10000000149011612,0.8999999761581421,0.019999999552965164,0.9800000190734863,0.10000000149011612,0.8999999761581421
11,B,1,4,1,0.10000000149011612,0.8999999761581421,0.019999999552965164,0.9800000190734863,0.10000000149011612,0.8999999761581421
12,B,1,4,1,0.10000000149011612,0.8999999761581421,0.019999999552965164,0.9800000190734863,0.0555555559694767,0.9444444179534912
13,B,1,4,1,0.10000000149011612,0.8999999761581421,0.019999999552965164,0.9800000190734863,0.10000000149011612,0.8999999761581421
14,B,1,4,1,0.10000000149011612,0.8999999761581421,0.8448275923728943,0.1551724076271057,0.10000000149011612,0.8999999761581421
1,A,1,5,1,0.9166666865348816,0.0833333358168602,0.9838709831237793,0.016129031777381897,0.8472222089767456,0.1527777761220932
2,A,1,5,1,0.9166666865348816,0.0833333358168602,0.9838709831237793,0.016129031777381897,0.9166666865348816,0.0833333358168602
3,A,1,5,1,0.9166666865348816,0.0833333358168602,0.9838709831237793,0.016129031777381897,0.9545454382896423,0.04545454680919647
4,A,1,5,1,0.9166666865348816,0.0833333358168602,0.9838709831237793,0.016129031777381897,0.96875,0.03125
5,A,1,5,1,0.9166666865348816,0.0833333358168602,0.9838709831237793,0.016129031777381897,0.9166666865348816,0.0833333358168602
6,A,1,5,1,0.9166666865348816,0.0833333358168602,0.9838709831237793,0.016129031777381897,0.9166666865348816,0.0833333358168602
7,A,1,5,1,0.9166666865348816,0.0833333358168602,0.1527777761220932,0.8472222089767456,0.9166666865348816,0.0833333358168602
