seed,stimulus_id,frequency_condition,distance_to_prototype,prob_class_A
0,A_Freq,frequent,1.0,0.85910606
0,A_Rare,rare,1.0,0.82728714
1,A_Freq,frequent,1.0,0.8591061
1,A_Rare,rare,1.0,0.82728714
2,A_Freq,frequent,1.0,0.85910606
2,A_Rare,rare,1.0,0.82728714
3,A_Freq,frequent,1.0,0.8591061
3,A_Rare,rare,1.0,0.82728714
4,A_Freq,frequent,1.0,0.8591257
4,A_Rare,rare,1.0,0.8338624
5,A_Freq,frequent,1.0,0.859106
5,A_Rare,rare,1.0,0.82728714
6,A_Freq,frequent,1.0,0.85910624
6,A_Rare,rare,1.0,0.82728714
7,A_Freq,frequent,1.0,0.8591061
7,A_Rare,rare,1.0,0.82728714
8,A_Freq,frequent,1.0,0.8591062
8,A_Rare,rare,1.0,0.82728714
9,A_Freq,frequent,1.0,0.86119527
9,A_Rare,rare,1.0,0.8337129
10,A_Freq,frequent,1.0,0.8591061
10,A_Rare,rare,1.0,0.82728714
11,A_Freq,frequent,1.0,0.85910606
11,A_Rare,rare,1.0,0.82728714
12,A_Freq,frequent,1.0,0.85910606
12,A_Rare,rare,1.0,0.82728714
13,A_Freq,frequent,1.0,0.8591061
13,A_Rare,rare,1.0,0.82728714
14,A_Freq,frequent,1.0,0.8591061
14,A_Rare,rare,1.0,0.8272872
15,A_Freq,frequent,1.0,0.85910606
15,A_Rare,rare,1.0,0.82728714
16,A_Freq,frequent,1.0,0.8591061
16,A_Rare,rare,1.0,0.82728714
17,A_Freq,frequent,1.0,0.85910624
17,A_Rare,rare,1.0,0.82728714
18,A_Freq,frequent,1.0,0.86113685
18,A_Rare,rare,1.0,0.8269507
19,A_Freq,frequent,1.0,0.8591061
19,A_Rare,rare,1.0,0.8272872
20,A_Freq,frequent,1.0,0.8591061
20,A_Rare,rare,1.0,0.82728714
21,A_Freq,frequent,1.0,0.8591062
21,A_Rare,rare,1.0,0.82728714
22,A_Freq,frequent,1.0,0.8591061
22,A_Rare,rare,1.0,0.82728714
23,A_Freq,frequent,1.0,0.85910606
23,A_Rare,rare,1.0,0.8272872
24,A_Freq,frequent,1.0,0.8591061
24,A_Rare,rare,1.0,0.8272872
25,A_Freq,frequent,1.0,0.8591061
25,A_Rare,rare,1.0,0.8272872
26,A_Freq,frequent,1.0,0.85910606
26,A_Rare,rare,1.0,0.8272872
27,A_Freq,frequent,1.0,0.86113685
27,A_Rare,rare,1.0,0.8269507
28,A_Freq,frequent,1.0,0.8591061
28,A_Rare,rare,1.0,0.8272872
29,A_Freq,frequent,1.0,0.8607217
29,A_Rare,rare,1.0,0.82751477
