seed,code,club,freq,distance_to_111,recog_score,p_club1,p_club1_raw,p_club2_raw,tag
0,112,1,10,1,-1.1286778200465342,0.8473839182715039,0.7611923119426562,0.137092745785768,Freq_Exemplar
0,121,1,10,1,-1.35084652822817,0.7719445936270373,0.7061062132679025,0.2086047894352988,Freq_Exemplar
0,211,1,10,1,-1.2433129208561342,0.8179368934477362,0.7416834664989216,0.1650899929700673,Freq_Exemplar
0,113,1,1,1,-2.93334434020011,0.6923138352178091,0.5741995410722803,0.255192436760477,Rare_Exemplar
0,131,1,1,1,-3.21073360155665,0.6138049351264941,0.48295639324227274,0.3038675073227238,Rare_Exemplar
0,311,1,1,1,-3.227642154252786,0.7772352197958976,0.6022720956640061,0.17261828542572763,Rare_Exemplar
0,133,1,1,2,-3.0333165649720666,0.5644816796882688,0.433860120970976,0.33473899673745405,Rare_Exemplar
0,313,1,1,2,-3.234918415297643,0.5467992216850021,0.43682112619528096,0.3620482007382587,Rare_Exemplar
0,331,1,1,2,-3.098483736165137,0.6630993921036253,0.5206317845194648,0.2645171550200597,Rare_Exemplar
0,221,2,10,2,-1.2185464303939333,0.19439614039053849,0.1791549681338412,0.74244238340782,Other
0,212,2,10,2,-1.3954293082366742,0.21283989927925198,0.19437673865046748,0.7188765531838783,Other
0,122,2,10,2,-1.1751784825150748,0.16108172713702476,0.14653160527087367,0.7631408192507855,Other
0,223,2,1,3,-3.0888889839991336,0.23534587061769965,0.19326661423437724,0.6279358726718971,Other
0,232,2,1,3,-3.0921049114101518,0.18600284675480408,0.14945700159970193,0.6540629670850878,Other
0,322,2,1,3,-3.1746139508543005,0.2903039634111501,0.23573867137387397,0.5763021585337884,Other
0,233,2,1,3,-3.127917797622371,0.34894278688808383,0.2895915264707883,0.5403196720193778,Other
0,323,2,1,3,-3.375037770518163,0.47740815613077126,0.3627133367095589,0.39704187914017774,Other
0,332,2,1,3,-2.856282451672929,0.19614670059159706,0.16095092024736807,0.6596130747723026,Other
0,132,Either,10,2,-1.3737703734796993,0.22199618872097795,0.2001444982712454,0.7014227737813508,Other
0,321,Either,10,2,-1.514145337722667,0.5166704554945744,0.4629983781963596,0.4331209436509909,Other
0,213,Either,10,2,-1.3092681311243695,0.33530245438653183,0.305107460662255,0.6048395339712276,Other
0,231,Either,0,2,-3.4653687071960793,0.5052079509670109,0.39202765571641524,0.3839451985627803,Other
0,123,Either,0,2,-3.4614639959915654,0.49541764007611877,0.3736762103109504,0.3805888381712487,Other
0,312,Either,0,2,-3.4516773034585664,0.5271867368561695,0.40626318848172766,0.3643616396473743,Other
0,111,1,0,0,-3.302901202155519,0.8612951715362386,0.6976576859494469,0.11235229553585312,Prototype
0,222,2,0,3,-3.30822969789549,0.1447281527048518,0.11835571937634415,0.6994238015003599,Other
0,333,Either,0,3,-4.159925214204473,0.6029920726298663,0.41966194090265124,0.27630399289869034,Other
0,444,Neither,0,3,-3.9148103437898802,0.5719818728205928,0.1353017124063777,0.10124723929233512,Other
0,411,Neither,1,1,-2.8936453265098416,0.7797695234554076,0.37151241665597096,0.10492633284744751,Other
0,422,Neither,1,3,-2.809551507343452,0.2603528293675215,0.12050379614429145,0.3423442414093348,Other
0,141,Neither,1,1,-3.1704512924863817,0.7816032107995695,0.38590903485131417,0.10783130490053311,Other
0,242,Neither,1,3,-2.8918641844102657,0.25115923092216236,0.11170533917611779,0.33305370378629984,Other
0,114,Neither,1,1,-2.806561558188503,0.7862297882618487,0.3652301414924438,0.09930344263933202,Other
0,224,Neither,1,3,-2.8688690076323264,0.2345514325341464,0.10759263031521869,0.35112394690950227,Other
0,441,Neither,1,2,-2.6203480626854025,0.6031978303945088,0.14062789891946334,0.09250937683547203,Other
0,442,Neither,1,3,-2.9483992377647583,0.5874504875493655,0.14799792850722776,0.10393467116533782,Other
0,144,Neither,1,2,-2.725450516531434,0.573345594612515,0.14576690785582355,0.10847226172275747,Other
0,244,Neither,1,3,-3.031868086158162,0.6069984148568107,0.15994422185415666,0.10355600803011261,Other
0,414,Neither,1,2,-3.190578141845402,0.6370925597261536,0.18857390397608984,0.10741747293960664,Other
0,424,Neither,1,3,-2.977771965877938,0.41007121644778305,0.11341316323680871,0.1631562683347201,Other
0,134,Neither,1,2,-2.8882155457444663,0.3482354347633128,0.16594927461185116,0.3105940579891027,Other
0,234,Neither,1,3,-3.1157735928115384,0.49715683098118607,0.17834503940742205,0.18038489910200406,Other
0,413,Neither,1,2,-3.085593884816069,0.45456689937958006,0.2683867025729054,0.3220361877414038,Other
0,423,Neither,1,3,-2.729869247088769,0.3440162082367006,0.1081083327613124,0.2061452697518819,Other
0,341,Neither,1,2,-2.9143310457298397,0.5465819880587376,0.28028451079473526,0.23251048962268595,Other
0,342,Neither,1,3,-3.2149941653358542,0.3290944241878453,0.11636375045455952,0.23722397969835166,Other
0,124,Neither,1,2,-2.997388602499163,0.5062513456688933,0.2849069092322214,0.2778706748071519,Other
0,214,Neither,1,2,-2.9058832279853077,0.4623989021620436,0.2910510181941515,0.3383860692065345,Other
0,412,Neither,1,2,-2.907689737024938,0.514298320010343,0.2901050419787467,0.2739742689801389,Other
0,421,Neither,1,2,-3.031240794140693,0.5005105981373718,0.32339244446455984,0.3227326239516748,Other
0,241,Neither,1,2,-2.9774378129315435,0.5108369998565208,0.2880039260702937,0.27578437851842175,Other
0,142,Neither,1,2,-3.01586521226143,0.4320036244436245,0.27461775674439765,0.3610661616441959,Other
0,143,Neither,1,2,-2.6903939841117888,0.6840238602035937,0.216047763106931,0.0998005218383139,Other
0,243,Neither,1,3,-2.8721703938056753,0.4044459617035767,0.207020780532375,0.3048418664832553,Other
0,314,Neither,1,2,-2.7923672705705007,0.7000897006136222,0.24228366173928725,0.10379150766675865,Other
0,324,Neither,1,3,-2.9607461106235773,0.5227693096149754,0.26341707603671777,0.24047072149050702,Other
0,431,Neither,1,2,-2.7213411536305183,0.6800632398148553,0.21927503763597742,0.10315826679564316,Other
0,432,Neither,1,3,-3.0443514936237777,0.33687061176624156,0.1799790021980904,0.35428844622801314,Other
1,112,1,10,1,-1.3095630861832863,0.7553435552596641,0.679815835016,0.22019294944010098,Freq_Exemplar
1,121,1,10,1,-1.3059325193416012,0.8372838837797539,0.7526270021644325,0.14626406303420175,Freq_Exemplar
1,211,1,10,1,-1.1638664011934852,0.8318382578967224,0.7451546131488286,0.15063805576847897,Freq_Exemplar
1,113,1,1,1,-3.1436215206183284,0.7419331808346095,0.5861657115106209,0.2038861781369564,Rare_Exemplar
1,131,1,1,1,-3.0957049939399037,0.711122436800734,0.5631602290559053,0.22877123015877612,Rare_Exemplar
1,311,1,1,1,-3.0499315923677655,0.7493243101054351,0.6132322756748267,0.20514805364952246,Rare_Exemplar
1,133,1,1,2,-3.282738208094976,0.5124878395771585,0.3748586506793221,0.35659021840722843,Rare_Exemplar
1,313,1,1,2,-3.3111609742292925,0.6755461153314701,0.5432453495386349,0.26091196438815867,Rare_Exemplar
1,331,1,1,2,-3.163774364550065,0.7260538012533817,0.592451165846416,0.2235368020199757,Rare_Exemplar
1,221,2,10,2,-1.3800027750471122,0.2200835646510064,0.19997870356172,0.7086702629289523,Other
1,212,2,10,2,-1.2627684965759032,0.20843058575200563,0.18892898632130797,0.7175070131730225,Other
1,122,2,10,2,-1.1420061187729353,0.17064771293840136,0.15685665605293,0.7623273948317748,Other
1,223,2,1,3,-3.023589554946995,0.3207144266419447,0.25737203912355155,0.5451239440424613,Other
1,232,2,1,3,-2.93767365722206,0.22214621466325696,0.17863967257533608,0.6255139018897036,Other
1,322,2,1,3,-3.282903338913453,0.3217761058779912,0.26413692383349585,0.5567348531829412,Other
1,233,2,1,3,-2.9287219700736165,0.40662111881685514,0.31690826515826714,0.46246164578087606,Other
1,323,2,1,3,-3.1105225168212223,0.42271512064164846,0.3451823024517335,0.47140145714450177,Other
1,332,2,1,3,-3.3448356100391408,0.3042089538084871,0.23200246829682253,0.5306393454706917,Other
1,132,Either,10,2,-1.608658026989786,0.3242241553528224,0.2853518345508441,0.5947548133956138,Other
1,321,Either,10,2,-1.4356014407823505,0.6032112773777297,0.5513099460768301,0.3626483414297891,Other
1,213,Either,10,2,-1.3064578649364964,0.6441167951187425,0.5780971489758939,0.31940646117189314,Other
1,231,Either,0,2,-3.5061292500628287,0.5619163577263485,0.4264938909753532,0.33250499757996876,Other
1,123,Either,0,2,-3.439257716096081,0.4620963511168933,0.38190981233388177,0.4445624404999709,Other
1,312,Either,0,2,-3.4539144724092297,0.5367289722958835,0.41536678693383655,0.3585187463122738,Other
1,111,1,0,0,-3.3140888854451807,0.8407518438847891,0.665197215756775,0.12599607224501636,Prototype
1,222,2,0,3,-3.3590532551221286,0.14663413020149887,0.1178744669494159,0.6859934101092022,Other
1,333,Either,0,3,-4.188330577723162,0.5501359973934944,0.41271302300201423,0.33748879065391724,Other
1,444,Neither,0,3,-3.897736907841274,0.4997607247818625,0.11622802910430927,0.11633932431275033,Other
1,411,Neither,1,1,-2.9857281517353202,0.6904611402704061,0.34615544403772075,0.15518405770767144,Other
1,422,Neither,1,3,-3.015007204784966,0.24563638645815358,0.11782772849754633,0.361855799649532,Other
1,141,Neither,1,1,-3.0471770754737197,0.7727748597416961,0.37109096891503635,0.10911483001464847,Other
1,242,Neither,1,3,-3.0764826790710442,0.2513808178823662,0.12035376262514566,0.3584169074641897,Other
1,114,Neither,1,1,-2.908982145457864,0.7651455085058134,0.3653306376747772,0.11213493405444828,Other
1,224,Neither,1,3,-3.1591091787983974,0.28024427043523065,0.14401444033357927,0.3698745327038322,Other
1,441,Neither,1,2,-2.551249722432326,0.5261178424238732,0.12100845003166442,0.10899410885165989,Other
1,442,Neither,1,3,-2.4603477205117237,0.46329658393268675,0.10393306294080405,0.12040069332946599,Other
1,144,Neither,1,2,-2.785647143595444,0.577543080444066,0.1568021054807206,0.11469643859352804,Other
1,244,Neither,1,3,-2.74593767857653,0.5330302599886165,0.1405157462484293,0.12310108153059804,Other
1,414,Neither,1,2,-2.525821600390101,0.41537330788624016,0.10006106268605154,0.14083323838313425,Other
1,424,Neither,1,3,-2.5157189672969937,0.3958681311792801,0.09739165154250143,0.14862878776988883,Other
1,134,Neither,1,2,-3.1702282733931715,0.41239192889275544,0.22156981988670224,0.3157098996306081,Other
1,234,Neither,1,3,-3.3150026090425273,0.355758149772231,0.14529986279486426,0.26312328334497925,Other
1,413,Neither,1,2,-3.2586974983908723,0.5566699011816616,0.32687472289566233,0.26032196620463666,Other
1,423,Neither,1,3,-3.215495739374542,0.3135971203475021,0.12801351943965952,0.2801966047407081,Other
1,341,Neither,1,2,-2.9640635750004978,0.5994186769075636,0.31365611867078425,0.20961105793598198,Other
1,342,Neither,1,3,-3.269234313843124,0.5255180954555597,0.17895125912489057,0.16157223696854423,Other
